location,date,species,sex,age,band,weight,sensor_node,treatment,treatment_amount,ID_sampling_sheet,time
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D327,30,45,LPS,80,37,2:31
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D198,36,43,LPS,100,36,
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D167,36,42,PBS,100,35,
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D323,28,40,LPS,70,31,2:16
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D322,30,39,PBS,80,30,
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D321,28,38,PBS,70,29,2:12
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D320,40,37,PBS,100,28,2:11
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D319,32,36,LPS,90,27,
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D318,40,35,PBS,100,26,2:05
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D345,41,34,PBS,100,25,2:04
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D346,31,33,LPS,90,24,2:02
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D348,29,32,PBS,80,22,1:58
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D347,34.5,31,PBS,90,23,1:56
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D194,34,30,LPS,90,21,1:53
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D314,33,44,LPS,90,14,1:50
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D317,35,29,LPS,90,20,1:48
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D350,32.5,28,LPS,90,19,
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D349,34,26,PBS,100,18,1:37
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D315,40,25,LPS,80,16,
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D316,30,24,PBS,80,17,1:34
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D108,30,23,LPS,90,15,
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D312,30,22,PBS,80,13,1:28
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D311,30,21,PBS,80,12,1:26
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D310,26,20,PBS,70,11,1:26
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D309,31,19,PBS,80,10,1:23
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D195,30,18,LPS,60,9,1:22
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D308,35,17,LPS,90,8,1:19
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D307,30,16,PBS,80,7,1:17
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D306,26,15,LPS,70,6,1:16
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D305,32,14,PBS,80,5,1:13
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D304,26,13,LPS,80,4,1:11
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D738,28,12,PBS,100,3,1:07
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D303,34,11,LPS,90,2,1:06
"Lamanai, Sugar Mill",2018.04.25,Desmodus rotundus,F,AD,D302,30,10,PBS,80,1,