"Fire","SP","Group","Date","UTM1","UTM2","Bird1","Bird2"
"N","Pre",1,"15-May-13",731181,8561513,"AAA","YEW"
"Y","Pre",2,"16-May-13",731874,8562682,"BWB","BAG"
"N","Pre",3,"16-May-13",730879,8560826,"AWY","WEY"
"N","Pre",4,"16-May-13",731200,8560432,"BAA","WEW"
"Y","Pre",5,"16-May-13",732353,8562049,"WGB","EAF"
"N","Pre",6,"17-May-13",731007,8561493,"AAA","YEW"
"N","Pre",7,"19-May-13",731338,8562206,"FYA","AAY"
"N","Pre",8,"20-May-13",731027,8561500,"AAA","YEW"
"Y","Pre",9,"22-May-13",731860,8562782,"EAA","FAF"
"N","Pre",10,"22-May-13",731183,8561536,"AAA","YEW"
"N","Pre",11,"22-May-13",731192,8561239,"BBF","WYW"
"Y","Pre",12,"23-May-13",731776,8563053,"AFG","BGB"
"N","Pre",13,"24-May-13",730968,8561544,"AAA","YEW"
"N","Pre",14,"24-May-13",730968,8561544,"BFW","YEW"
"N","Pre",15,"24-May-13",730615,8562119,"WEE","FWF"
"N","Pre",16,"24-May-13",730841,8562648,"YBF","BEY"
"N","Pre",17,"26-May-13",730646,8562224,"WEE","FWF"
"N","Pre",18,"27-May-13",731043,8561376,"AAA","YEW"
"N","Pre",19,"29-May-13",730804,8562203,"FWF","WEE"
"Y","Pre",20,"1-Jun-13",732897,8561301,"AGW","EEB"
"N","Pre",21,"6-Jun-13",730794,8559766,"GYG","GAY"
"N","Pre",22,"6-Jun-13",731174,8561242,"WYW","BBF"
"N","Pre",23,"6-Jun-13",NA,NA,"WYW","BBF"
"N","Pre",24,"6-Jun-13",731047,8561404,"BFW","AAA"
"N","Pre",25,"7-Jun-13",730874,8562612,"BWE","YGY"
"N","Pre",26,"7-Jun-13",730787,8559743,"GYG","GAY"
"N","Pre",27,"7-Jun-13",730884,8562652,"BWE","YGY"
"Y","Pre",28,"8-Jun-13",731200,8563215,"FEA","GGE"
"Y","Pre",29,"8-Jun-13",731132,8563514,"FBF","GWY"
"Y","Pre",30,"9-Jun-13",731816,8563028,"BGB","AFG"
"Y","Pre",31,"9-Jun-13",731949,8562600,"EBW","FAF"
"N","Pre",32,"9-Jun-13",731154,8561502,"AAA","YEW"
"N","Pre",33,"10-Jun-13",730376,8560488,"WEB","YEE"
"N","Pre",34,"11-Jun-13",730797,8562632,"BWE","GFY"
"N","Pre",35,"11-Jun-13",730798,8561111,"BGW","YYB"
"N","Pre",36,"12-Jun-13",730867,8560982,"BGW","YYB"
"Y","Pre",37,"14-Jun-13",732590,8561771,"BGF","YWE"
"N","Pre",38,"15-Jun-13",730861,8560835,"AWY","WEY"
"N","Pre",39,"16-Jun-13",731248,8559936,"WGY","WWF"
"Y","Pre",40,"16-Jun-13",731183,8563844,"FBF","BEE"
"N","Pre",41,"19-Jun-13",730914,8562618,"YGY","BWE"
"N","Pre",42,"19-Jun-13",731088,8561073,"BAA","WEW"
"N","Pre",43,"19-Jun-13",731108,8560948,"WEW","BAA"
"N","Pre",44,"20-Jun-13",731075,8561212,"WYW","WEF"
"N","Pre",45,"21-Jun-13",730714,8562184,"WEE","FWF"
"N","Pre",46,"21-Jun-13",730920,8562758,"YBF","EWW"
"N","Pre",47,"22-Jun-13",730674,8562222,"WEE","FWF"
"N","Pre",48,"22-Jun-13",730617,8561922,"WEE","FWF"
"Y","Pre",49,"23-Jun-13",731891,8562706,"EAA","EBW"
"N","Pre",50,"23-Jun-13",730557,8562040,"FWF","YAF"
"N","Pre",51,"23-Jun-13",NA,NA,"WEE","YAF"
"N","Pre",52,"24-Jun-13",731268,8562124,"AAY","BYY"
"N","Pre",53,"24-Jun-13",731217,8561425,"WYW","BBF"
"N","Pre",54,"24-Jun-13",731173,8561404,"YEW","AAA"
"N","Pre",55,"24-Jun-13",730370,8560080,"WWB","YFE"
"Y","Pre",56,"25-Jun-13",731183,8563131,"FEA","GGE"
"N","Pre",57,"26-Jun-13",731246,8561482,"WEF","BBF"
"N","Pre",58,"26-Jun-13",731181,8561481,"AAA","YEW"
"N","Pre",59,"26-Jun-13",730885,8560830,"WEY","AWY"
"Y","Pre",60,"27-Jun-13",731614,8561356,"GAG","WFY"
"N","Pre",61,"27-Jun-13",731119,8560984,"WEW","BAA"
"N","Pre",62,"27-Jun-13",731182,8561510,"WYW","BAA"
"Y","Pre",63,"27-Jun-13",731623,8561000,"EEW","GYW"
"N","Pre",64,"27-Jun-13",730478,8560818,"WEB","YEE"
"Y","Pre",65,"28-Jun-13",731431,8561286,"GAG","XXY"
"N","Pre",66,"28-Jun-13",730905,8562586,"BWE","YGY"
"N","Pre",67,"28-Jun-13",730945,8560811,"WEY","AWY"
"Y","Pre",68,"29-Jun-13",731245,8563184,"FEA","GGE"
"N","Pre",69,"29-Jun-13",731164,8561400,"BBF","WEF"
NA,"Pre",70,"29-Jun-13",731895,8560738,"WYE","GBA"
"N","Pre",71,"29-Jun-13",731152,8561421,"YEW","AAA"
"Y","Pre",72,"30-Jun-13",731904,8560820,"AYB","WBW"
"N","Pre",73,"2-Jul-13",731085,8561401,"BFW","AAA"
"N","Pre",74,"2-Jul-13",730514,8561837,"AFB","AYY"
"N","Pre",75,"2-Jul-13",731082,8561365,"YEW","AAA"
"N","Pre",76,"3-Jul-13",730346,8560052,"YFE","WWB"
"N","Pre",77,"4-Jul-13",730451,8561970,"WEE","FWF"
"N","Pre",78,"4-Jul-13",730428,8561914,"AYY","AFB"
"N","Pre",79,"4-Jul-13",730865,8560773,"WEY","AWY"
"N","Pre",80,"4-Jul-13",730743,8559728,"GAY","GYG"
"N","Pre",81,"4-Jul-13",730566,8559764,"GAY","GYG"
"Y","Pre",82,"5-Jul-13",731576,8561304,"GAG","WFY"
"N","Pre",83,"5-Jul-13",730363,8560451,"WEB","BFF"
"N","Pre",84,"6-Jul-13",730429,8561890,"AYY","AFB"
"N","Pre",85,"7-Jul-13",730451,8560434,"WEB","YEE"
"N","Pre",86,"7-Jul-13",731434,8559860,"FFG","YBY"
"Y","Post",87,"13-Jul-13",731856,8562838,"FAF","BAB"
"Y","Post",88,"13-Jul-13",731593,8561306,"GAG","XXY"
"N","Post",89,"13-Jul-13",731178,8561474,"YEW","AAA"
"Y","Post",90,"13-Jul-13",731880,8562720,"EAA","EBW"
"Y","Post",91,"13-Jul-13",730959,8563326,"GGE","FEA"
"N","Post",92,"13-Jul-13",731003,8561345,"AAA","YEW"
"N","Post",93,"13-Jul-13",731246,8561510,"WYW","BBF"
"N","Post",94,"14-Jul-13",730507,8561988,"FWF","YAF"
"Y","Post",95,"14-Jul-13",731564,8561270,"GAG","XXY"
"N","Post",96,"14-Jul-13",731153,8560990,"WEW","BAA"
"N","Post",97,"14-Jul-13",730527,8561896,"AYY","AFB"
"Y","Post",98,"14-Jul-13",730787,8563288,"EGE","BYG"
"N","Post",99,"14-Jul-13",730400,8560976,"WEB","YEE"
"Y","Post",100,"14-Jul-13",730759,8563315,"BYG","EGE"
"N","Post",101,"15-Jul-13",730757,8562966,"EWW","BEY"
"Y","Post",102,"15-Jul-13",730787,8563288,"EGE","BYG"
"Y","Post",103,"15-Jul-13",731149,8563146,"FEA","GGE"
"Y","Post",104,"15-Jul-13",731851,8562796,"FAY","BWB"
"N","Post",105,"15-Jul-13",730420,8560802,"WEB","YEE"
"N","Post",106,"16-Jul-13",731202,8561576,"WYW","BBF"
"N","Post",107,"16-Jul-13",731177,8561527,"AAA","YEW"
"Y","Post",108,"16-Jul-13",731917,8562804,"FAF","EBW"
"Y","Post",109,"16-Jul-13",731812,8562834,"FAY","BWB"
"N","Post",110,"17-Jul-13",730497,8560968,"BFF","BGW"
"N","Post",111,"18-Jul-13",731053,8561282,"AAA","YEW"
"N","Post",112,"18-Jul-13",730377,8560564,"WEB","YEE"
"Y","Post",113,"18-Jul-13",730906,8563394,"BEE","FBF"
"N","Post",114,"18-Jul-13",731093,8561248,"WEW","BAA"
"N","Post",115,"18-Jul-13",730443,8561954,"YAF","FWF"
"Y","Post",116,"19-Jul-13",732254,8562076,"EYF","GGA"
"N","Post",117,"19-Jul-13",731186,8561456,"WYW","YEW"
"Y","Post",118,"20-Jul-13",732208,8562044,"EYF","GGA"
"Y","Post",119,"21-Jul-13",731928,8562626,"EAA","BAB"
"Y","Post",120,"21-Jul-13",731425,8561332,"XXY","GAG"
"N","Post",121,"21-Jul-13",730456,8560412,"BFF","YEE"
"Y","Post",122,"21-Jul-13",731931,8562593,"FAY","XXF"
"N","Post",123,"22-Jul-13",731151,8561454,"AAA","BFW"
"N","Post",124,"22-Jul-13",730756,8562970,"BEY","EWW"
"N","Post",125,"23-Jul-13",731151,8561454,"AAA","YEW"
"Y","Post",126,"23-Jul-13",731886,8562666,"FAY","BWB"
"N","Post",127,"24-Jul-13",731151,8561454,"YEW","BAA"
"Y","Post",128,"24-Jul-13",731189,8563136,"YWB","AFY"
"N","Post",129,"24-Jul-13",730497,8560968,"BGW","BFF"
"Y","Post",130,"24-Jul-13",731189,8563136,"YWB","AFY"
"N","Post",131,"25-Jul-13",730992,8561664,"AAA","BFW"
"N","Post",132,"25-Jul-13",730592,8561798,"WEE","FWF"
"N","Post",133,"25-Jul-13",730959,8560677,"WEY","AWY"
"N","Post",134,"25-Jul-13",731002,8561562,"BFW","YEW"
"N","Post",135,"25-Jul-13",730497,8560968,"BGW","YYB"
"Y","Post",136,"26-Jul-13",731444,8561248,"GAG","XXY"
"N","Post",137,"26-Jul-13",731181,8561506,"AAA","YEW"
"N","Post",138,"26-Jul-13",731213,8561500,"WYW","WEF"
"N","Post",139,"26-Jul-13",730497,8560968,"BFF","YYB"
"Y","Post",140,"27-Jul-13",731510,8561162,"GAG","XXY"
"Y","Post",141,"27-Jul-13",731501,8561143,"FEG","GYW"
"N","Post",142,"28-Jul-13",730433,8561962,"WEE","FWF"
"Y","Post",143,"28-Jul-13",731880,8562745,"FAY","BWB"
"Y","Post",144,"28-Jul-13",731499,8561130,"GAG","XXY"
"Y","Post",145,"28-Jul-13",731504,8561133,"GAG","XXY"
"N","Post",146,"29-Jul-13",730848,8560175,"GYG","GAY"
"N","Post",147,"29-Jul-13",730798,8560197,"YFE","WWB"
"N","Post",148,"29-Jul-13",730848,8560175,"GAY","GYG"
"Y","Post",149,"30-Jul-13",732512,8561644,"YWE","BGF"
"N","Post",150,"31-Jul-13",730783,8560221,"BAF","WWB"
"Y","Post",151,"1-Aug-13",731993,8562576,"FAY","FAF"
"N","Post",152,"1-Aug-13",731876,8561501,"GEG","YBA"
"Y","Post",153,"1-Aug-13",732463,8561725,"YWE","BGF"
"N","Post",154,"1-Aug-13",731906,8561525,"YBA","GEG"
"Y","Post",155,"2-Aug-13",731812,8562748,"FAY","BWB"
"N","Post",156,"2-Aug-13",731219,8561473,"WEF","BBF"
"Y","Post",157,"3-Aug-13",731812,8562748,"FAY","BAG"
"Y","Post",158,"4-Aug-13",731812,8562748,"BAG","BWB"
"N","Post",159,"5-Aug-13",731030,8561049,"WEW","FWA"
"Y","Post",160,"5-Aug-13",730771,8563581,"BYG","AWG"
"N","Post",161,"6-Aug-13",731003,8561555,"AAA","YEW"
"N","Post",162,"7-Aug-13",730847,8562597,"BWE","YGY"
"Y","Post",163,"7-Aug-13",731217,8563128,"YWB","AFY"
"Y","Post",164,"7-Aug-13",731864,8562924,"FAY","BAG"
"N","Post",165,"8-Aug-13",731875,8561503,"GEG","YBA"
"Y","Post",166,"10-Aug-13",732212,8562031,"EYF","GGA"
"N","Post",167,"11-Aug-13",731170,8560948,"WEW","BAA"
"Y","Post",168,"11-Aug-13",731923,8562649,"EAA","FAF"
"N","Post",169,"22-Aug-13",731902,8561561,"YBA","GEG"
"N","Post",170,"22-Aug-13",730570,8562219,"WEE","BWY"
"N","Post",171,"22-Aug-13",730554,8562244,"GFY","EYE"
"N","Post",172,"22-Aug-13",730481,8562003,"FWF","YAF"
"N","Post",173,"23-Aug-13",730612,8562128,"WEE","BWY"
"N","Post",174,"23-Aug-13",730593,8562083,"FWF","YAF"
"N","Post",175,"24-Aug-13",731248,8561547,"WYW","WEF"
"N","Post",176,"24-Aug-13",731210,8561455,"BBF","WEF"
"MAIN","PRE",1,"13-Jun-14",731346,8559678,"EEF","WYA"
"MAIN","PRE",2,"14-Jun-14",731556,8559762,"WYA","EEF"
"MAIN","PRE",3,"15-Jun-14",731050,8561318,"BWA","EGW"
"MAIN","PRE",4,"16-Jun-14",731546,8560897,"AGF","WBW"
"MAIN","PRE",5,"16-Jun-14",731345,8559678,"EEF","WYA"
"MAIN","PRE",6,"16-Jun-14",731349,8559656,"EEF","WYA"
"MAIN","PRE",7,"16-Jun-14",731361,8559638,"EEF","WYA"
"MAIN","PRE",8,"16-Jun-14",731551,8559652,"EEF","WYA"
"MAIN","PRE",9,"16-Jun-14",730612,8562080,"BWY","GFY"
"MAIN","PRE",10,"17-Jun-14",731545,8559644,"EEF","WYA"
"MAIN","PRE",11,"17-Jun-14",731339,8559678,"EEF","WYA"
"MAIN","PRE",12,"18-Jun-14",731418,8559718,"EEF","WYA"
"MAIN","PRE",13,"18-Jun-14",731346,8559664,"EEF","WYA"
"MAIN","PRE",14,"18-Jun-14",731325,8559742,"EEF","WYA"
"EARLY","PRE",15,"18-Jun-14",731725,8563168,"YYE","FFW"
"EARLY","PRE",16,"18-Jun-14",731885,8563286,"YYE","FFW"
"EARLY","PRE",17,"18-Jun-14",731830,8563101,"BAB","FFW"
"MAIN","PRE",18,"19-Jun-14",731467,8559744,"EEF","WYA"
"MAIN","PRE",19,"20-Jun-14",731418,8559568,"EEF","WYA"
"MAIN","PRE",20,"20-Jun-14",731337,8559680,"EEF","WYA"
"MAIN","PRE",21,"19-Jun-14",731447,8559524,"FFG","WYA"
"MAIN","PRE",22,"20-Jun-14",730742,8562702,"BWE","YBF"
"MAIN","PRE",23,"20-Jun-14",731904,8563552,"FFW","BAB"
"MAIN","PRE",24,"21-Jun-14",731182,8561462,"YEW","AAA"
"EARLY","PRE",25,"21-Jun-14",731733,8563172,"FFW","BAB"
"EARLY","PRE",26,"22-Jun-14",731754,8563226,"FFW","BAB"
"EARLY","PRE",27,"22-Jun-14",731686,8563222,"FFW","BAB"
"EARLY","PRE",28,"22-Jun-14",731677,8563104,"FFW","BAB"
"EARLY","PRE",29,"23-Jun-14",731597,8559891,"GWE","YBY"
"EARLY","PRE",30,"24-Jun-14",731514,8559674,"WYA","EEF"
"EARLY","PRE",31,"24-Jun-14",731385,8559672,"WYA","EEF"
"EARLY","PRE",32,"24-Jun-14",731369,8559704,"WYA","EEF"
"EARLY","PRE",33,"24-Jun-14",731030,8561187,"BBF","EGW"
"EARLY","PRE",34,"24-Jun-14",731703,8563202,"YYE","FFW"
"EARLY","POST",35,"24-Jun-14",731834,8563221,"FFW","YYE"
"EARLY","POST",36,"24-Jun-14",731840,8563222,"FFW","XXB"
"EARLY","POST",37,"25-Jun-14",731818,8563108,"FFW","YYE"
"EARLY","POST",38,"26-Jun-14",731744,8563228,"YYE","FFW"
"EARLY","POST",39,"26-Jun-14",731752,8563212,"YYE","FFW"
"EARLY","POST",40,"26-Jun-14",731770,8563176,"YYE","FFW"
"MAIN","PRE",41,"26-Jun-14",730629,8562116,"EAE","BWY"
"MAIN","PRE",42,"26-Jun-14",731445,8561248,"GAG","XXY"
"MAIN","PRE",43,"26-Jun-14",731557,8560910,"WBW","AGF"
"EARLY","POST",44,"27-Jun-14",731109,8563069,"AFY","FEA"
"EARLY","POST",45,"27-Jun-14",731102,8563069,"AFY","FEA"
"EARLY","POST",46,"27-Jun-14",731734,8563122,"YYE","BAB"
"EARLY","POST",47,"27-Jun-14",731713,8563110,"YYE","BAB"
"MAIN","PRE",48,"27-Jun-14",NA,NA,"WYA","EEF"
"MAIN","PRE",49,"27-Jun-14",NA,NA,"WYA","EEF"
"MAIN","PRE",50,"27-Jun-14",731348,8559713,"FFG","GWE"
"MAIN","PRE",51,"27-Jun-14",731557,8560910,"AGF","WBW"
"EARLY","POST",52,"28-Jun-14",731238,8563182,"AFY","YWB"
"EARLY","POST",53,"28-Jun-14",731601,8562957,"BWB","BGB"
"EARLY","POST",54,"28-Jun-14",732327,8563871,"AEB","AGG"
"EARLY","POST",55,"28-Jun-14",731715,8563214,"YYE","BAB"
"EARLY","POST",56,"28-Jun-14",731752,8563212,"YYE","BAB"
"EARLY","POST",57,"30-Jun-14",731922,8563290,"FFW","BAB"
"MAIN","PRE",58,"30-Jun-14",731406,8559572,"GWE","WYA"
"MAIN","PRE",59,"30-Jun-14",731353,8559598,"GWE","WYA"
"MAIN","PRE",60,"30-Jun-14",731329,8559678,"GWE","WYA"
"MAIN","PRE",61,"1-Jul-14",731422,8559484,"GWE","WYA"
"MAIN","PRE",62,"1-Jul-14",731383,8559600,"GWE","WYA"
"EARLY","POST",63,"1-Jul-14",731198,8562900,"FBF","GGE"
"EARLY","POST",64,"2-Jul-14",731244,8562874,"AFY","YWB"
"EARLY","POST",65,"2-Jul-14",731262,8562867,"AFY","FEA"
"MAIN","PRE",66,"3-Jul-14",731457,8559806,"GWE","FFG"
"EARLY","POST",67,"3-Jul-14",731259,8562734,"FBF","GGE"
"EARLY","POST",68,"3-Jul-14",731738,8563230,"FFW","BAB"
"MAIN","PRE",69,"3-Jul-14",731063,8561386,"AAA","YEW"
"MAIN","PRE",70,"4-Jul-14",731345,8559666,"GWE","YBY"
"MAIN","PRE",71,"4-Jul-14",731547,8560946,"GYW","AGF"
"MAIN","PRE",72,"5-Jul-14",731092,8561037,"BBF","YYF"
"MAIN","PRE",73,"5-Jul-14",731522,8559824,"EEF","FFG"
"MAIN","PRE",74,"6-Jul-14",730692,8560452,"YFE","EXE"
"MAIN","PRE",75,"6-Jul-14",731298,8559760,"GWE","FFG"
"MAIN","PRE",76,"7-Jul-14",731182,8561483,"AAA","YEW"
"EARLY","POST",77,"7-Jul-14",731186,8562798,"AFY","FEA"
"MAIN","PRE",78,"7-Jul-14",731262,8561415,"BBF","YYF"
"MAIN","PRE",79,"13-Jul-14",731181,8562255,"EWE","AAY"
"MAIN","PRE",80,"13-Jul-14",731425,8561296,"GAG","XXY"
"MAIN","PRE",81,"13-Jul-14",730670,8560358,"YFE","FEE"
"MAIN","PRE",82,"13-Jul-14",731543,8560826,"GYW","AGF"
"EARLY","POST",83,"13-Jul-14",731735,8562928,"BGB","BWB"
"MAIN","PRE",84,"13-Jul-14",731648,8561030,"GYW","AGF"
"MAIN","PRE",85,"14-Jul-14",731060,8562247,"EWE","FYA"
"MAIN","PRE",86,"14-Jul-14",731181,8562255,"EWE","AAY"
"MAIN","PRE",87,"15-Jul-14",730695,8562411,"BWE","YBF"
"EARLY","POST",88,"14-Jul-14",731721,8563208,"AFY","FEA"
"EARLY","POST",89,"15-Jul-14",731734,8563158,"AFY","FEA"
"MAIN","PRE",90,"16-Jul-14",731574,8560844,"WBW","GYW"
"EARLY","POST",91,"16-Jul-14",731720,8562560,"BGB","BWB"
"EARLY","POST",92,"16-Jul-14",731728,8562560,"BGB","BWB"
"MAIN","PRE",93,"17-Jul-14",730698,8560641,"WEY","BAF"
"MAIN","PRE",94,"17-Jul-14",731692,8560988,"GYW","AGF"
"EARLY","POST",95,"17-Jul-14",731261,8562735,"AFY","FEA"
"MAIN","POST",96,"18-Jul-14",730678,8560390,"BAF","WEY"
"MAIN","POST",97,"19-Jul-14",730997,8561496,"AAA","YEW"
"MAIN","POST",98,"19-Jul-14",731081,8561679,"AAA","YEW"
"EARLY","POST",99,"19-Jul-14",731250,8562822,"AFY","FEA"
"EARLY","POST",100,"19-Jul-14",731270,8562804,"AFY","FEA"
"EARLY","POST",101,"20-Jul-14",730574,8560198,"YFE","BAF"
"EARLY","POST",102,"20-Jul-14",730575,8560168,"YFE","BAF"
"EARLY","POST",103,"20-Jul-14",730607,8560216,"YFE","BAF"
"EARLY","POST",104,"20-Jul-14",731243,8561481,"AWW","WYW"
"EARLY","POST",105,"20-Jul-14",731315,8561542,"BAA","BBF"
"EARLY","POST",106,"21-Jul-14",730518,8561962,"YAF","FWF"
"EARLY","POST",107,"21-Jul-14",730576,8561991,"YAF","FWF"
"EARLY","POST",108,"21-Jul-14",730705,8562711,"BWE","YBF"
"EARLY","POST",109,"21-Jul-14",730539,8563350,"AFF","EWW"
"EARLY","POST",110,"21-Jul-14",730928,8563334,"AFF","EWW"
"MAIN","POST",111,"21-Jul-14",731101,8561912,"AAA","AAY"
"MAIN","POST",112,"21-Jul-14",730575,8560088,"BAF","YFE"
"MAIN","POST",113,"21-Jul-14",730561,8560074,"BAF","WEY"
"MAIN","POST",114,"21-Jul-14",731466,8561696,"AWW","WYW"
"MAIN","POST",115,"21-Jul-14",730576,8560080,"BAF","YFE"
"EARLY","POST",116,"22-Jul-14",730829,8563228,"AFF","EWW"
"MAIN","POST",117,"22-Jul-14",730847,8562898,"BWE","YBF"
"MAIN","POST",118,"22-Jul-14",730618,8562120,"BWY","EAE"
"MAIN","POST",119,"23-Jul-14",731377,8561564,"AWW","WYW"
"MAIN","POST",120,"23-Jul-14",731058,8561706,"YEW","AAA"
"EARLY","POST",121,"24-Jul-14",730833,8563220,"AFF","EWW"
"EARLY","POST",122,"23-Jul-14",730858,8563318,"AFF","EWW"
"EARLY","POST",123,"23-Jul-14",731268,8562724,"FBF","FEA"
"MAIN","POST",124,"23-Jul-14",732301,8560786,"GBA","YEY"
"MAIN","POST",125,"23-Jul-14",730544,8559984,"BAF","YFE"
"MAIN","PRE",126,NA,731056,8562358,"FYA","EWE"
"MAIN","PRE",127,NA,731108,8532354,"FYA","EWE"
"MAIN","PRE",128,NA,731152,8562344,"FYA","EWE"
"MAIN","PRE",129,NA,731192,8562324,"FYA","EWE"
"MAIN","PRE",130,NA,731262,8562304,"FYA","EWE"
"MAIN","PRE",131,NA,731277,8562214,"FYA","EWE"
"MAIN","PRE",132,NA,731234,8562218,"FYA","EWE"
"MAIN","PRE",133,NA,731166,8562214,"EWE","AAY"
"MAIN","POST",134,"24-Jul-14",731137,8561628,"AAA","WFW"
"MAIN","POST",135,"24-Jul-14",731278,8561550,"YEW","WYW"
"MAIN","POST",136,"24-Jul-14",731281,8561582,"AAA","WFW"
"EARLY","POST",137,"24-Jul-14",730886,8563340,"EGE","AFF"
"EARLY","POST",138,"24-Jul-14",731253,8562840,"FBF","FEA"
"EARLY","POST",139,"24-Jul-14",731444,8562835,"FBF","FEA"
"EARLY","POST",140,"24-Jul-14",731258,8562738,"FBF","FEA"
"MAIN","POST",141,"24-Jul-14",731039,8561738,"YEW","AAA"
"MAIN","POST",142,"25-Jul-14",730577,8559694,"BAF","YFE"
"MAIN","POST",143,"25-Jul-14",730573,8559915,"BAF","YFE"
"MAIN","POST",144,"26-Jul-14",730894,8562844,"BWE","YBF"
"MAIN","POST",145,"26-Jul-14",731225,8561518,"YEW","AAA"
"MAIN","POST",146,"26-Jul-14",730919,8562827,"BWE","YBF"
"MAIN","POST",147,"26-Jul-14",731256,8561623,"AAA","WFW"
"MAIN","POST",148,"26-Jul-14",731263,8560756,"BAA","YYF"
