"Fire","SP","Group","Date","UTM1","UTM2","Bird1","Bird2"
"MAIN","POST",149,"26-Jul-14",731675,8560991,"AGF","WBW"
"MAIN","POST",150,"27-Jul-14",731142,8562160,"AAY","EWE"
"MAIN","POST",151,"27-Jul-14",731267,8561506,"YEW","AAA"
"EARLY","POST",152,"27-Jul-14",731185,8563272,"FBF","FEA"
"MAIN","POST",153,"27-Jul-14",730907,8563322,"EGE","AFF"
"MAIN","POST",154,"27-Jul-14",731778,8562387,"EEB","GEG"
"MAIN","POST",155,"28-Jul-14",731007,8562184,"FYA","AAY"
"MAIN","POST",156,"29-Jul-14",730498,8559996,"BAF","YFE"
"EARLY","POST",157,"29-Jul-14",730846,8563274,"AFF","EGE"
"EARLY","POST",158,"29-Jul-14",730912,8563248,"AFF","EGE"
"EARLY","POST",159,"30-Jul-14",730890,8563238,"AFF","EGE"
"MAIN","POST",160,"31-Jul-14",731237,8561513,"AAA","WYW"
"MAIN","POST",161,"1-Aug-14",731307,8561547,"AWW","WFW"
"MAIN","POST",162,"2-Aug-14",730881,8562124,"AAY","FYA"
"MAIN","POST",163,"3-Aug-14",731089,8562200,"AAY","EWE"
"MAIN","POST",164,"3-Aug-14",731440,8559556,"EEF","WYA"
"MAIN","POST",165,"3-Aug-14",731400,8559576,"EEF","WYA"
"MAIN","POST",166,"3-Aug-14",731108,8560940,"BAA","YYF"
"EARLY","POST",167,"3-Aug-14",731267,8563263,"FBF","FEA"
"MAIN","POST",168,"3-Aug-14",731112,8560896,"EGW","BWA"
"EARLY","POST",169,"3-Aug-14",731274,8563244,"GGE","FEA"
"MAIN","POST",170,"7-Aug-14",731343,8561592,"AWW","WFW"
"MAIN","POST",171,"8-Aug-14",731197,8561583,"YEW","AAA"
"MAIN","POST",172,"8-Aug-14",732244,8561004,"GBA","YEY"
"MAIN","POST",173,"13-Aug-14",731641,8561037,"GYW","AGF"
"MAIN","POST",174,"14-Aug-14",731409,8559540,"EEF","GWE"
"MAIN","POST",175,"26-Jul-14",NA,NA,"EEB","GEG"
"N","Pre",1,"15-May-13",731181,8561513,"AAA","BFW"
"Y","Pre",5,"16-May-13",732353,8562049,"WGB","YWE"
"N","Pre",6,"17-May-13",731007,8561493,"AAA","BFW"
"N","Pre",7,"19-May-13",731338,8562206,"FYA","EFE"
"N","Pre",8,"20-May-13",731027,8561500,"AAA","BFW"
"Y","Pre",9,"22-May-13",731860,8562782,"EAA","BWB"
"N","Pre",10,"22-May-13",731183,8561536,"AAA","BFW"
"N","Pre",13,"24-May-13",730968,8561544,"AAA","BFW"
"N","Pre",18,"27-May-13",731043,8561376,"AAA","BFW"
"N","Pre",23,"6-Jun-13",NA,NA,"WYW","WEF"
"N","Pre",24,"6-Jun-13",731047,8561404,"BFW","YEW"
"Y","Pre",28,"8-Jun-13",731200,8563215,"FEA","YWB"
"N","Pre",32,"9-Jun-13",731154,8561502,"AAA","BFW"
"N","Pre",34,"11-Jun-13",730797,8562632,"BWE","YBF"
"Y","Pre",40,"16-Jun-13",731183,8563844,"FBF","GWY"
"N","Pre",44,"20-Jun-13",731075,8561212,"WYW","BBF"
"N","Pre",48,"22-Jun-13",730617,8561922,"WEE","AYY"
"Y","Pre",49,"23-Jun-13",731891,8562706,"EAA","FAF"
"N","Pre",51,"23-Jun-13",NA,NA,"WEE","FWF"
"N","Pre",52,"24-Jun-13",731268,8562124,"AAY","EFE"
"N","Pre",53,"24-Jun-13",731217,8561425,"WYW","WEF"
"N","Pre",54,"24-Jun-13",731173,8561404,"YEW","BFW"
"N","Pre",55,"24-Jun-13",730370,8560080,"WWB","BAF"
"Y","Pre",56,"25-Jun-13",731183,8563131,"FEA","YWB"
"N","Pre",58,"26-Jun-13",731181,8561481,"AAA","BFW"
"N","Pre",64,"27-Jun-13",730478,8560818,"WEB","BFF"
"Y","Pre",65,"28-Jun-13",731431,8561286,"GAG","WFY"
"N","Pre",71,"29-Jun-13",731152,8561421,"YEW","BFW"
"Y","Pre",72,"30-Jun-13",731904,8560820,"AYB","FEG"
"N","Pre",73,"2-Jul-13",731085,8561401,"BFW","YEW"
"N","Pre",75,"2-Jul-13",731082,8561365,"YEW","BFW"
"N","Pre",76,"3-Jul-13",730346,8560052,"YFE","BAF"
"N","Pre",83,"5-Jul-13",730363,8560451,"WEB","YEE"
"N","Pre",85,"7-Jul-13",730451,8560434,"WEB","BFF"
"Y","Post",87,"13-Jul-13",731856,8562838,"FAF","EBW"
"N","Post",89,"13-Jul-13",731178,8561474,"YEW","BFW"
"Y","Post",90,"13-Jul-13",731880,8562720,"EAA","FAF"
"Y","Post",91,"13-Jul-13",730959,8563326,"GGE","BYG"
"N","Post",92,"13-Jul-13",731003,8561345,"AAA","BFW"
"N","Post",96,"14-Jul-13",731153,8560990,"WEW","FWA"
"Y","Post",98,"14-Jul-13",730787,8563288,"EGE","AWG"
"N","Post",99,"14-Jul-13",730400,8560976,"WEB","BFF"
"Y","Post",100,"14-Jul-13",730759,8563315,"BYG","AWG"
"Y","Post",102,"15-Jul-13",730787,8563288,"EGE","AWG"
"Y","Post",103,"15-Jul-13",731149,8563146,"FEA","AFY"
"Y","Post",104,"15-Jul-13",731851,8562796,"FAY","BAG"
"N","Post",105,"15-Jul-13",730420,8560802,"WEB","BFF"
"N","Post",107,"16-Jul-13",731177,8561527,"AAA","BFW"
"Y","Post",109,"16-Jul-13",731812,8562834,"FAY","BAG"
"N","Post",110,"17-Jul-13",730497,8560968,"BFF","YYB"
"N","Post",111,"18-Jul-13",731053,8561282,"AAA","BFW"
"N","Post",114,"18-Jul-13",731093,8561248,"WEW","FWA"
"N","Post",117,"19-Jul-13",731186,8561456,"WYW","AAA"
"Y","Post",122,"21-Jul-13",731931,8562593,"FAY","BAG"
"Y","Post",126,"23-Jul-13",731886,8562666,"FAY","BAG"
"N","Post",129,"24-Jul-13",730497,8560968,"BGW","YYB"
"N","Post",132,"25-Jul-13",730592,8561798,"WEE","YAF"
"N","Post",134,"25-Jul-13",731002,8561562,"BFW","AAA"
"N","Post",137,"26-Jul-13",731181,8561506,"AAA","BFW"
"N","Post",138,"26-Jul-13",731213,8561500,"WYW","BBF"
"Y","Post",141,"27-Jul-13",731501,8561143,"FEG","EEW"
"N","Post",142,"28-Jul-13",730433,8561962,"WEE","YAF"
"Y","Post",143,"28-Jul-13",731880,8562745,"FAY","BAG"
"Y","Post",145,"28-Jul-13",731504,8561133,"GAG","GYW"
"N","Post",150,"31-Jul-13",730783,8560221,"BAF","YFE"
"Y","Post",151,"1-Aug-13",731993,8562576,"FAY","BAG"
"N","Post",156,"2-Aug-13",731219,8561473,"WEF","WYW"
"N","Post",159,"5-Aug-13",731030,8561049,"WEW","BAA"
"Y","Post",160,"5-Aug-13",730771,8563581,"BYG","BEE"
"N","Post",161,"6-Aug-13",731003,8561555,"AAA","BFW"
"Y","Post",163,"7-Aug-13",731217,8563128,"YWB","GGE"
"Y","Post",164,"7-Aug-13",731864,8562924,"FAY","UNB1"
"Y","Post",168,"11-Aug-13",731923,8562649,"EAA","EBW"
"N","Post",173,"23-Aug-13",730612,8562128,"WEE","EYE"
"N","Post",175,"24-Aug-13",731248,8561547,"WYW","BBF"
"MAIN","PRE",3,"15-Jun-14",731050,8561318,"BWA","YYF"
"MAIN","PRE",4,"16-Jun-14",731546,8560897,"AGF","GAG"
"MAIN","PRE",13,"18-Jun-14",731346,8559664,"EEF","FFG"
"EARLY","PRE",15,"18-Jun-14",731725,8563168,"YYE","EAW"
"EARLY","PRE",17,"18-Jun-14",731830,8563101,"BAB","YYE"
"MAIN","PRE",23,"20-Jun-14",731904,8563552,"FFW","YYE"
"EARLY","PRE",25,"21-Jun-14",731733,8563172,"FFW","YYE"
"EARLY","PRE",26,"22-Jun-14",731754,8563226,"FFW","YYE"
"EARLY","PRE",28,"22-Jun-14",731677,8563104,"FFW","YYE"
"EARLY","PRE",29,"23-Jun-14",731597,8559891,"GWE","FFG"
"EARLY","PRE",33,"24-Jun-14",731030,8561187,"BBF","BWA"
"EARLY","POST",36,"24-Jun-14",731840,8563222,"FFW","YYE"
"EARLY","POST",37,"25-Jun-14",731818,8563108,"FFW","BAB"
"EARLY","POST",38,"26-Jun-14",731744,8563228,"YYE","BAB"
"EARLY","POST",39,"26-Jun-14",731752,8563212,"YYE","BAB"
"EARLY","POST",40,"26-Jun-14",731770,8563176,"YYE","BAB"
"EARLY","POST",44,"27-Jun-14",731109,8563069,"AFY","FBF"
"EARLY","POST",45,"27-Jun-14",731102,8563069,"AFY","FBF"
"EARLY","POST",46,"27-Jun-14",731734,8563122,"YYE","FFW"
"EARLY","POST",47,"27-Jun-14",731713,8563110,"YYE","FFW"
"MAIN","PRE",49,"27-Jun-14",NA,NA,"WYA","FFG"
"MAIN","PRE",50,"27-Jun-14",731348,8559713,"FFG","YBY"
"EARLY","POST",52,"28-Jun-14",731238,8563182,"AFY","GGE"
"EARLY","POST",54,"28-Jun-14",732327,8563871,"AEB","UNBKathleens"
"EARLY","POST",55,"28-Jun-14",731715,8563214,"YYE","FFW"
"EARLY","POST",56,"28-Jun-14",731752,8563212,"YYE","FFW"
"MAIN","PRE",58,"30-Jun-14",731406,8559572,"GWE","FFG"
"MAIN","PRE",59,"30-Jun-14",731353,8559598,"GWE","FFG"
"MAIN","PRE",60,"30-Jun-14",731329,8559678,"GWE","FFG"
"MAIN","PRE",61,"1-Jul-14",731422,8559484,"GWE","FFG"
"MAIN","PRE",62,"1-Jul-14",731383,8559600,"GWE","FFG"
"EARLY","POST",63,"1-Jul-14",731198,8562900,"FBF","FEA"
"EARLY","POST",64,"2-Jul-14",731244,8562874,"AFY","GGE"
"EARLY","POST",65,"2-Jul-14",731262,8562867,"AFY","YWB"
"MAIN","PRE",66,"3-Jul-14",731457,8559806,"GWE","YBY"
"EARLY","POST",67,"3-Jul-14",731259,8562734,"FBF","FEA"
"EARLY","POST",68,"3-Jul-14",731738,8563230,"FFW","YYE"
"MAIN","PRE",71,"4-Jul-14",731547,8560946,"GYW","WBW"
"MAIN","PRE",72,"5-Jul-14",731092,8561037,"BBF","BWA"
"MAIN","PRE",73,"5-Jul-14",731522,8559824,"EEF","WYA"
"EARLY","POST",77,"7-Jul-14",731186,8562798,"AFY","GGE"
"MAIN","PRE",78,"7-Jul-14",731262,8561415,"BBF","BWA"
"MAIN","PRE",82,"13-Jul-14",731543,8560826,"GYW","WBW"
"MAIN","PRE",84,"13-Jul-14",731648,8561030,"GYW","WBW"
"EARLY","POST",88,"14-Jul-14",731721,8563208,"AFY","GGE"
"EARLY","POST",89,"15-Jul-14",731734,8563158,"AFY","GGE"
"MAIN","PRE",90,"16-Jul-14",731574,8560844,"WBW","AGF"
"MAIN","PRE",94,"17-Jul-14",731692,8560988,"GYW","WBW"
"EARLY","POST",95,"17-Jul-14",731261,8562735,"AFY","YWB"
"EARLY","POST",99,"19-Jul-14",731250,8562822,"AFY","YWB"
"EARLY","POST",100,"19-Jul-14",731270,8562804,"AFY","YWB"
"EARLY","POST",101,"20-Jul-14",730574,8560198,"YFE","WEY"
"EARLY","POST",102,"20-Jul-14",730575,8560168,"YFE","WEY"
"EARLY","POST",103,"20-Jul-14",730607,8560216,"YFE","WEY"
"EARLY","POST",104,"20-Jul-14",731243,8561481,"AWW","BBF"
"EARLY","POST",105,"20-Jul-14",731315,8561542,"BAA","BWA"
"EARLY","POST",109,"21-Jul-14",730539,8563350,"AFF","EGE"
"EARLY","POST",110,"21-Jul-14",730928,8563334,"AFF","EGE"
"MAIN","POST",111,"21-Jul-14",731101,8561912,"AAA","EWE"
"MAIN","POST",113,"21-Jul-14",730561,8560074,"BAF","YFE"
"EARLY","POST",116,"22-Jul-14",730829,8563228,"AFF","EGE"
"EARLY","POST",121,"24-Jul-14",730833,8563220,"AFF","EGE"
"EARLY","POST",122,"23-Jul-14",730858,8563318,"AFF","EGE"
"EARLY","POST",123,"23-Jul-14",731268,8562724,"FBF","YWB"
"MAIN","POST",124,"23-Jul-14",732301,8560786,"GBA","WGW"
"MAIN","POST",125,"23-Jul-14",730544,8559984,"BAF","EXE"
"MAIN","PRE",126,NA,731056,8562358,"FYA","AAY"
"MAIN","PRE",127,NA,731108,8532354,"FYA","AAY"
"MAIN","PRE",128,NA,731152,8562344,"FYA","AAY"
"MAIN","PRE",129,NA,731192,8562324,"FYA","AAY"
"MAIN","PRE",130,NA,731262,8562304,"FYA","AAY"
"MAIN","PRE",131,NA,731277,8562214,"FYA","AAY"
"MAIN","PRE",132,NA,731234,8562218,"FYA","AAY"
"MAIN","POST",134,"24-Jul-14",731137,8561628,"AAA","WYW"
"MAIN","POST",136,"24-Jul-14",731281,8561582,"AAA","AWW"
"EARLY","POST",138,"24-Jul-14",731253,8562840,"FBF","YWB"
"EARLY","POST",139,"24-Jul-14",731444,8562835,"FBF","YWB"
"EARLY","POST",140,"24-Jul-14",731258,8562738,"FBF","YWB"
"MAIN","POST",142,"25-Jul-14",730577,8559694,"BAF","WEY"
"MAIN","POST",143,"25-Jul-14",730573,8559915,"BAF","WEY"
"MAIN","POST",145,"26-Jul-14",731225,8561518,"YEW","WYW"
"MAIN","POST",147,"26-Jul-14",731256,8561623,"AAA","WYW"
"MAIN","POST",148,"26-Jul-14",731263,8560756,"BAA","YFE"
"MAIN","POST",149,"26-Jul-14",731675,8560991,"AGF","GAG"
"MAIN","POST",150,"27-Jul-14",731142,8562160,"AAY","FYA"
"MAIN","POST",151,"27-Jul-14",731267,8561506,"YEW","WYW"
"EARLY","POST",152,"27-Jul-14",731185,8563272,"FBF","YWB"
"MAIN","POST",153,"27-Jul-14",730907,8563322,"EGE","EWW"
"MAIN","POST",154,"27-Jul-14",731778,8562387,"EEB","GGA"
"MAIN","POST",155,"28-Jul-14",731007,8562184,"FYA","EWE"
"MAIN","POST",156,"29-Jul-14",730498,8559996,"BAF","XXX"
"EARLY","POST",157,"29-Jul-14",730846,8563274,"AFF","EWW"
"EARLY","POST",158,"29-Jul-14",730912,8563248,"AFF","EWW"
"MAIN","POST",160,"31-Jul-14",731237,8561513,"AAA","YEW"
"MAIN","POST",162,"2-Aug-14",730881,8562124,"AAY","EWE"
"MAIN","POST",163,"3-Aug-14",731089,8562200,"AAY","FYA"
"MAIN","POST",164,"3-Aug-14",731440,8559556,"EEF","FFG"
"MAIN","POST",165,"3-Aug-14",731400,8559576,"EEF","FFG"
"MAIN","POST",166,"3-Aug-14",731108,8560940,"BAA","EGW"
"EARLY","POST",167,"3-Aug-14",731267,8563263,"FBF","YWB"
"MAIN","POST",172,"8-Aug-14",732244,8561004,"GBA","WGW"
"MAIN","POST",173,"13-Aug-14",731641,8561037,"GYW","WBW"
"MAIN","POST",174,"14-Aug-14",731409,8559540,"EEF","WYA"
"MAIN","POST",175,"26-Jul-14",NA,NA,"EEB","GGA"
"Y","Pre",5,"16-May-13",732353,8562049,"WGB","GGA"
"N","Pre",7,"19-May-13",731338,8562206,"FYA","BYY"
"N","Pre",34,"11-Jun-13",730797,8562632,"BWE","AFF"
"N","Pre",51,"23-Jun-13",NA,NA,"WEE","BWY"
"N","Pre",55,"24-Jun-13",730370,8560080,"WWB","GYG"
"N","Pre",71,"29-Jun-13",731152,8561421,"YEW","WYW"
"Y","Post",91,"13-Jul-13",730959,8563326,"GGE","YWB"
"Y","Post",103,"15-Jul-13",731149,8563146,"FEA","YWB"
"Y","Post",109,"16-Jul-13",731812,8562834,"FAY","BAB"
"N","Post",111,"18-Jul-13",731053,8561282,"AAA","FWA"
"N","Post",117,"19-Jul-13",731186,8561456,"WYW","BFW"
"Y","Post",122,"21-Jul-13",731931,8562593,"FAY","BAB"
"Y","Post",145,"28-Jul-13",731504,8561133,"GAG","EEW"
"Y","Post",151,"1-Aug-13",731993,8562576,"FAY","EAA"
"Y","Post",160,"5-Aug-13",730771,8563581,"BYG","EGE"
"N","Post",161,"6-Aug-13",731003,8561555,"AAA","WYW"
"Y","Post",163,"7-Aug-13",731217,8563128,"YWB","FEA"
"Y","Post",164,"7-Aug-13",731864,8562924,"FAY","UNB2"
"N","Post",173,"23-Aug-13",730612,8562128,"WEE","GFY"
"MAIN","PRE",3,"15-Jun-14",731050,8561318,"BWA","BBF"
"EARLY","PRE",33,"24-Jun-14",731030,8561187,"BBF","YYF"
"EARLY","POST",39,"26-Jun-14",731752,8563212,"YYE","XXW"
"EARLY","POST",44,"27-Jun-14",731109,8563069,"AFY","GGE"
"EARLY","POST",45,"27-Jun-14",731102,8563069,"AFY","GGE"
"MAIN","PRE",49,"27-Jun-14",NA,NA,"WYA","GWE"
"EARLY","POST",52,"28-Jun-14",731238,8563182,"AFY","FEA"
"EARLY","POST",54,"28-Jun-14",732327,8563871,"AEB","UNBAEG"
"MAIN","PRE",58,"30-Jun-14",731406,8559572,"GWE","YBY"
"MAIN","PRE",59,"30-Jun-14",731353,8559598,"GWE","YBY"
"MAIN","PRE",60,"30-Jun-14",731329,8559678,"GWE","YBY"
"MAIN","PRE",61,"1-Jul-14",731422,8559484,"GWE","YBY"
"MAIN","PRE",62,"1-Jul-14",731383,8559600,"GWE","YBY"
"EARLY","POST",63,"1-Jul-14",731198,8562900,"FBF","YWB"
"EARLY","POST",64,"2-Jul-14",731244,8562874,"AFY","FEA"
"EARLY","POST",65,"2-Jul-14",731262,8562867,"AFY","GGE"
"EARLY","POST",67,"3-Jul-14",731259,8562734,"FBF","YWB"
"MAIN","PRE",72,"5-Jul-14",731092,8561037,"BBF","EGW"
"MAIN","PRE",73,"5-Jul-14",731522,8559824,"EEF","YBY"
"EARLY","POST",77,"7-Jul-14",731186,8562798,"AFY","FBF"
"MAIN","PRE",78,"7-Jul-14",731262,8561415,"BBF","EGW"
"EARLY","POST",88,"14-Jul-14",731721,8563208,"AFY","FBF"
"EARLY","POST",89,"15-Jul-14",731734,8563158,"AFY","FBF"
"EARLY","POST",95,"17-Jul-14",731261,8562735,"AFY","FBF"
"EARLY","POST",99,"19-Jul-14",731250,8562822,"AFY","FBF"
"EARLY","POST",100,"19-Jul-14",731270,8562804,"AFY","FBF"
"EARLY","POST",101,"20-Jul-14",730574,8560198,"YFE","XXX"
"EARLY","POST",102,"20-Jul-14",730575,8560168,"YFE","XXX"
"EARLY","POST",104,"20-Jul-14",731243,8561481,"AWW","YYF"
"EARLY","POST",105,"20-Jul-14",731315,8561542,"BAA","YYF"
"MAIN","POST",111,"21-Jul-14",731101,8561912,"AAA","FYA"
"EARLY","POST",123,"23-Jul-14",731268,8562724,"FBF","AFY"
"MAIN","POST",124,"23-Jul-14",732301,8560786,"GBA","UNB1"
"MAIN","POST",125,"23-Jul-14",730544,8559984,"BAF","XXX"
"MAIN","POST",134,"24-Jul-14",731137,8561628,"AAA","AWW"
"EARLY","POST",138,"24-Jul-14",731253,8562840,"FBF","AFY"
"EARLY","POST",139,"24-Jul-14",731444,8562835,"FBF","AFY"
"EARLY","POST",140,"24-Jul-14",731258,8562738,"FBF","AFY"
"MAIN","POST",142,"25-Jul-14",730577,8559694,"BAF","XXX"
"MAIN","POST",143,"25-Jul-14",730573,8559915,"BAF","XXX"
"MAIN","POST",147,"26-Jul-14",731256,8561623,"AAA","YEW"
"MAIN","POST",148,"26-Jul-14",731263,8560756,"BAA","BWA"
"MAIN","POST",149,"26-Jul-14",731675,8560991,"AGF","XXY"
"EARLY","POST",152,"27-Jul-14",731185,8563272,"FBF","AFY"
"MAIN","POST",154,"27-Jul-14",731778,8562387,"EEB","EYF"
"MAIN","POST",156,"29-Jul-14",730498,8559996,"BAF","EXE"
"MAIN","POST",164,"3-Aug-14",731440,8559556,"EEF","YBY"
"MAIN","POST",165,"3-Aug-14",731400,8559576,"EEF","YBY"
"MAIN","POST",166,"3-Aug-14",731108,8560940,"BAA","BWA"
"EARLY","POST",167,"3-Aug-14",731267,8563263,"FBF","AFY"
"MAIN","POST",172,"8-Aug-14",732244,8561004,"GBA","UNB1"
"MAIN","POST",174,"14-Aug-14",731409,8559540,"EEF","FFG"
"MAIN","POST",175,"26-Jul-14",NA,NA,"EEB","EYF"
"N","Pre",34,"11-Jun-13",730797,8562632,"BWE","BEY"
"N","Pre",71,"29-Jun-13",731152,8561421,"YEW","BBF"
"Y","Post",91,"13-Jul-13",730959,8563326,"GGE","BEE"
"Y","Post",109,"16-Jul-13",731812,8562834,"FAY","XXF"
"N","Post",111,"18-Jul-13",731053,8561282,"AAA","BAA"
"Y","Post",122,"21-Jul-13",731931,8562593,"FAY","BWB"
"Y","Post",151,"1-Aug-13",731993,8562576,"FAY","XXF"
"Y","Post",160,"5-Aug-13",730771,8563581,"BYG","FBF"
"Y","Post",164,"7-Aug-13",731864,8562924,"FAY","FAF"
"EARLY","POST",44,"27-Jun-14",731109,8563069,"AFY","YWB"
"EARLY","POST",45,"27-Jun-14",731102,8563069,"AFY","YWB"
"MAIN","PRE",49,"27-Jun-14",NA,NA,"WYA","YBY"
"EARLY","POST",52,"28-Jun-14",731238,8563182,"AFY","FBF"
"MAIN","PRE",58,"30-Jun-14",731406,8559572,"GWE","EEF"
"MAIN","PRE",59,"30-Jun-14",731353,8559598,"GWE","EEF"
"MAIN","PRE",60,"30-Jun-14",731329,8559678,"GWE","EEF"
"MAIN","PRE",61,"1-Jul-14",731422,8559484,"GWE","EEF"
"MAIN","PRE",62,"1-Jul-14",731383,8559600,"GWE","EEF"
"EARLY","POST",63,"1-Jul-14",731198,8562900,"FBF","AFY"
"EARLY","POST",64,"2-Jul-14",731244,8562874,"AFY","FBF"
"EARLY","POST",65,"2-Jul-14",731262,8562867,"AFY","FBF"
"EARLY","POST",67,"3-Jul-14",731259,8562734,"FBF","AFY"
"EARLY","POST",77,"7-Jul-14",731186,8562798,"AFY","YWB"
"EARLY","POST",88,"14-Jul-14",731721,8563208,"AFY","YWB"
"EARLY","POST",89,"15-Jul-14",731734,8563158,"AFY","YWB"
"EARLY","POST",95,"17-Jul-14",731261,8562735,"AFY","GGE"
"EARLY","POST",99,"19-Jul-14",731250,8562822,"AFY","GGE"
"EARLY","POST",100,"19-Jul-14",731270,8562804,"AFY","GGE"
"EARLY","POST",104,"20-Jul-14",731243,8561481,"AWW","BWA"
"EARLY","POST",105,"20-Jul-14",731315,8561542,"BAA","EGW"
"MAIN","POST",111,"21-Jul-14",731101,8561912,"AAA","AAY"
"EARLY","POST",123,"23-Jul-14",731268,8562724,"FBF","GGE"
"MAIN","POST",124,"23-Jul-14",732301,8560786,"GBA","UNB2"
"MAIN","POST",125,"23-Jul-14",730544,8559984,"BAF","WEY"
"MAIN","POST",134,"24-Jul-14",731137,8561628,"AAA","YEW"
"EARLY","POST",138,"24-Jul-14",731253,8562840,"FBF","GGE"
"EARLY","POST",139,"24-Jul-14",731444,8562835,"FBF","GGE"
"EARLY","POST",140,"24-Jul-14",731258,8562738,"FBF","GGE"
"MAIN","POST",142,"25-Jul-14",730577,8559694,"BAF","EXE"
"MAIN","POST",143,"25-Jul-14",730573,8559915,"BAF","EXE"
"MAIN","POST",147,"26-Jul-14",731256,8561623,"AAA","AWW"
