"Fire","SP","Group","Date","UTM1","UTM2","Bird1","Bird2"
"MAIN","POST",148,"26-Jul-14",731263,8560756,"BAA","EGW"
"MAIN","POST",149,"26-Jul-14",731675,8560991,"AGF","GYW"
"EARLY","POST",152,"27-Jul-14",731185,8563272,"FBF","GGE"
"MAIN","POST",164,"3-Aug-14",731440,8559556,"EEF","GWE"
"MAIN","POST",165,"3-Aug-14",731400,8559576,"EEF","GWE"
"MAIN","POST",166,"3-Aug-14",731108,8560940,"BAA","BBF"
"EARLY","POST",167,"3-Aug-14",731267,8563263,"FBF","GGE"
"MAIN","POST",172,"8-Aug-14",732244,8561004,"GBA","UNB2"
"MAIN","POST",174,"14-Aug-14",731409,8559540,"EEF","YBY"
"N","Pre",71,"29-Jun-13",731152,8561421,"YEW","WEF"
"Y","Post",91,"13-Jul-13",730959,8563326,"GGE","FBF"
"Y","Post",109,"16-Jul-13",731812,8562834,"FAY","UNB1"
"N","Post",111,"18-Jul-13",731053,8561282,"AAA","WEW"
"Y","Post",122,"21-Jul-13",731931,8562593,"FAY","UNB1"
"Y","Post",151,"1-Aug-13",731993,8562576,"FAY","BWB"
"Y","Post",160,"5-Aug-13",730771,8563581,"BYG","GWY"
"Y","Post",164,"7-Aug-13",731864,8562924,"FAY","XXF"
"EARLY","POST",104,"20-Jul-14",731243,8561481,"AWW","EGW"
"EARLY","POST",105,"20-Jul-14",731315,8561542,"BAA","WYW"
"MAIN","POST",111,"21-Jul-14",731101,8561912,"AAA","YEW"
"MAIN","POST",124,"23-Jul-14",732301,8560786,"GBA","UNB3"
"MAIN","POST",142,"25-Jul-14",730577,8559694,"BAF","GYG"
"MAIN","POST",143,"25-Jul-14",730573,8559915,"BAF","GYG"
"MAIN","POST",148,"26-Jul-14",731263,8560756,"BAA","BBF"
"MAIN","POST",172,"8-Aug-14",732244,8561004,"GBA","UNB3"
"Y","Post",91,"13-Jul-13",730959,8563326,"GGE","EGE"
"Y","Post",109,"16-Jul-13",731812,8562834,"FAY","UNB2"
"Y","Post",122,"21-Jul-13",731931,8562593,"FAY","UNB2"
"Y","Post",151,"1-Aug-13",731993,8562576,"FAY","EBW"
"Y","Post",164,"7-Aug-13",731864,8562924,"FAY","BAB"
"EARLY","POST",104,"20-Jul-14",731243,8561481,"AWW","BAA"
"MAIN","POST",124,"23-Jul-14",732301,8560786,"GBA","WFY"
"MAIN","POST",142,"25-Jul-14",730577,8559694,"BAF","XAY"
"MAIN","POST",143,"25-Jul-14",730573,8559915,"BAF","XAY"
"MAIN","POST",172,"8-Aug-14",732244,8561004,"GBA","WFY"
"Y","Post",91,"13-Jul-13",730959,8563326,"GGE","GWY"
"Y","Post",164,"7-Aug-13",731864,8562924,"FAY","BWB"
"N","Pre",1,"15-May-13",731181,8561513,"YEW","BFW"
"Y","Pre",5,"16-May-13",732353,8562049,"EAF","YWE"
"N","Pre",6,"17-May-13",731007,8561493,"YEW","BFW"
"N","Pre",7,"19-May-13",731338,8562206,"AAY","EFE"
"N","Pre",8,"20-May-13",731027,8561500,"YEW","BFW"
"Y","Pre",9,"22-May-13",731860,8562782,"FAF","BWB"
"N","Pre",10,"22-May-13",731183,8561536,"YEW","BFW"
"N","Pre",13,"24-May-13",730968,8561544,"YEW","BFW"
"N","Pre",18,"27-May-13",731043,8561376,"YEW","BFW"
"N","Pre",23,"6-Jun-13",NA,NA,"BBF","WEF"
"N","Pre",24,"6-Jun-13",731047,8561404,"AAA","YEW"
"Y","Pre",28,"8-Jun-13",731200,8563215,"GGE","YWB"
"N","Pre",32,"9-Jun-13",731154,8561502,"YEW","BFW"
"N","Pre",34,"11-Jun-13",730797,8562632,"GFY","YBF"
"Y","Pre",40,"16-Jun-13",731183,8563844,"BEE","GWY"
"N","Pre",44,"20-Jun-13",731075,8561212,"WEF","BBF"
"N","Pre",48,"22-Jun-13",730617,8561922,"FWF","AYY"
"Y","Pre",49,"23-Jun-13",731891,8562706,"EBW","FAF"
"N","Pre",51,"23-Jun-13",NA,NA,"YAF","FWF"
"N","Pre",52,"24-Jun-13",731268,8562124,"BYY","EFE"
"N","Pre",53,"24-Jun-13",731217,8561425,"BBF","WEF"
"N","Pre",54,"24-Jun-13",731173,8561404,"AAA","BFW"
"N","Pre",55,"24-Jun-13",730370,8560080,"YFE","BAF"
"Y","Pre",56,"25-Jun-13",731183,8563131,"GGE","YWB"
"N","Pre",58,"26-Jun-13",731181,8561481,"YEW","BFW"
"N","Pre",64,"27-Jun-13",730478,8560818,"YEE","BFF"
"Y","Pre",65,"28-Jun-13",731431,8561286,"XXY","WFY"
"N","Pre",71,"29-Jun-13",731152,8561421,"AAA","BFW"
"Y","Pre",72,"30-Jun-13",731904,8560820,"WBW","FEG"
"N","Pre",73,"2-Jul-13",731085,8561401,"AAA","YEW"
"N","Pre",75,"2-Jul-13",731082,8561365,"AAA","BFW"
"N","Pre",76,"3-Jul-13",730346,8560052,"WWB","BAF"
"N","Pre",83,"5-Jul-13",730363,8560451,"BFF","YEE"
"N","Pre",85,"7-Jul-13",730451,8560434,"YEE","BFF"
"Y","Post",87,"13-Jul-13",731856,8562838,"BAB","EBW"
"N","Post",89,"13-Jul-13",731178,8561474,"AAA","BFW"
"Y","Post",90,"13-Jul-13",731880,8562720,"EBW","FAF"
"Y","Post",91,"13-Jul-13",730959,8563326,"FEA","BYG"
"N","Post",92,"13-Jul-13",731003,8561345,"YEW","BFW"
"N","Post",96,"14-Jul-13",731153,8560990,"BAA","FWA"
"Y","Post",98,"14-Jul-13",730787,8563288,"BYG","AWG"
"N","Post",99,"14-Jul-13",730400,8560976,"YEE","BFF"
"Y","Post",100,"14-Jul-13",730759,8563315,"EGE","AWG"
"Y","Post",102,"15-Jul-13",730787,8563288,"BYG","AWG"
"Y","Post",103,"15-Jul-13",731149,8563146,"GGE","AFY"
"Y","Post",104,"15-Jul-13",731851,8562796,"BWB","BAG"
"N","Post",105,"15-Jul-13",730420,8560802,"YEE","BFF"
"N","Post",107,"16-Jul-13",731177,8561527,"YEW","BFW"
"Y","Post",109,"16-Jul-13",731812,8562834,"BWB","BAG"
"N","Post",110,"17-Jul-13",730497,8560968,"BGW","YYB"
"N","Post",111,"18-Jul-13",731053,8561282,"YEW","BFW"
"N","Post",114,"18-Jul-13",731093,8561248,"BAA","FWA"
"N","Post",117,"19-Jul-13",731186,8561456,"YEW","AAA"
"Y","Post",122,"21-Jul-13",731931,8562593,"XXF","BAG"
"Y","Post",126,"23-Jul-13",731886,8562666,"BWB","BAG"
"N","Post",129,"24-Jul-13",730497,8560968,"BFF","YYB"
"N","Post",132,"25-Jul-13",730592,8561798,"FWF","YAF"
"N","Post",134,"25-Jul-13",731002,8561562,"YEW","AAA"
"N","Post",137,"26-Jul-13",731181,8561506,"YEW","BFW"
"N","Post",138,"26-Jul-13",731213,8561500,"WEF","BBF"
"Y","Post",141,"27-Jul-13",731501,8561143,"GYW","EEW"
"N","Post",142,"28-Jul-13",730433,8561962,"FWF","YAF"
"Y","Post",143,"28-Jul-13",731880,8562745,"BWB","BAG"
"Y","Post",145,"28-Jul-13",731504,8561133,"XXY","GYW"
"N","Post",150,"31-Jul-13",730783,8560221,"WWB","YFE"
"Y","Post",151,"1-Aug-13",731993,8562576,"FAF","BAG"
"N","Post",156,"2-Aug-13",731219,8561473,"BBF","WYW"
"N","Post",159,"5-Aug-13",731030,8561049,"FWA","BAA"
"Y","Post",160,"5-Aug-13",730771,8563581,"AWG","BEE"
"N","Post",161,"6-Aug-13",731003,8561555,"YEW","BFW"
"Y","Post",163,"7-Aug-13",731217,8563128,"AFY","GGE"
"Y","Post",164,"7-Aug-13",731864,8562924,"BAG","UNB1"
"Y","Post",168,"11-Aug-13",731923,8562649,"FAF","EBW"
"N","Post",173,"23-Aug-13",730612,8562128,"BWY","EYE"
"N","Post",175,"24-Aug-13",731248,8561547,"WEF","BBF"
"MAIN","PRE",3,"15-Jun-14",731050,8561318,"EGW","YYF"
"MAIN","PRE",4,"16-Jun-14",731546,8560897,"WBW","GAG"
"MAIN","PRE",13,"18-Jun-14",731346,8559664,"WYA","FFG"
"EARLY","PRE",15,"18-Jun-14",731725,8563168,"FFW","EAW"
"EARLY","PRE",17,"18-Jun-14",731830,8563101,"FFW","YYE"
"MAIN","PRE",23,"20-Jun-14",731904,8563552,"BAB","YYE"
"EARLY","PRE",25,"21-Jun-14",731733,8563172,"BAB","YYE"
"EARLY","PRE",26,"22-Jun-14",731754,8563226,"BAB","YYE"
"EARLY","PRE",28,"22-Jun-14",731677,8563104,"BAB","YYE"
"EARLY","PRE",29,"23-Jun-14",731597,8559891,"YBY","FFG"
"EARLY","PRE",33,"24-Jun-14",731030,8561187,"EGW","BWA"
"EARLY","POST",36,"24-Jun-14",731840,8563222,"XXB","YYE"
"EARLY","POST",37,"25-Jun-14",731818,8563108,"YYE","BAB"
"EARLY","POST",38,"26-Jun-14",731744,8563228,"FFW","BAB"
"EARLY","POST",39,"26-Jun-14",731752,8563212,"FFW","BAB"
"EARLY","POST",40,"26-Jun-14",731770,8563176,"FFW","BAB"
"EARLY","POST",44,"27-Jun-14",731109,8563069,"FEA","FBF"
"EARLY","POST",45,"27-Jun-14",731102,8563069,"FEA","FBF"
"EARLY","POST",46,"27-Jun-14",731734,8563122,"BAB","FFW"
"EARLY","POST",47,"27-Jun-14",731713,8563110,"BAB","FFW"
"MAIN","PRE",49,"27-Jun-14",NA,NA,"EEF","FFG"
"MAIN","PRE",50,"27-Jun-14",731348,8559713,"GWE","YBY"
"EARLY","POST",52,"28-Jun-14",731238,8563182,"YWB","GGE"
"EARLY","POST",54,"28-Jun-14",732327,8563871,"AGG","UNBKathleens"
"EARLY","POST",55,"28-Jun-14",731715,8563214,"BAB","FFW"
"EARLY","POST",56,"28-Jun-14",731752,8563212,"BAB","FFW"
"MAIN","PRE",58,"30-Jun-14",731406,8559572,"WYA","FFG"
"MAIN","PRE",59,"30-Jun-14",731353,8559598,"WYA","FFG"
"MAIN","PRE",60,"30-Jun-14",731329,8559678,"WYA","FFG"
"MAIN","PRE",61,"1-Jul-14",731422,8559484,"WYA","FFG"
"MAIN","PRE",62,"1-Jul-14",731383,8559600,"WYA","FFG"
"EARLY","POST",63,"1-Jul-14",731198,8562900,"GGE","FEA"
"EARLY","POST",64,"2-Jul-14",731244,8562874,"YWB","GGE"
"EARLY","POST",65,"2-Jul-14",731262,8562867,"FEA","YWB"
"MAIN","PRE",66,"3-Jul-14",731457,8559806,"FFG","YBY"
"EARLY","POST",67,"3-Jul-14",731259,8562734,"GGE","FEA"
"EARLY","POST",68,"3-Jul-14",731738,8563230,"BAB","YYE"
"MAIN","PRE",71,"4-Jul-14",731547,8560946,"AGF","WBW"
"MAIN","PRE",72,"5-Jul-14",731092,8561037,"YYF","BWA"
"MAIN","PRE",73,"5-Jul-14",731522,8559824,"FFG","WYA"
"EARLY","POST",77,"7-Jul-14",731186,8562798,"FEA","GGE"
"MAIN","PRE",78,"7-Jul-14",731262,8561415,"YYF","BWA"
"MAIN","PRE",82,"13-Jul-14",731543,8560826,"AGF","WBW"
"MAIN","PRE",84,"13-Jul-14",731648,8561030,"AGF","WBW"
"EARLY","POST",88,"14-Jul-14",731721,8563208,"FEA","GGE"
"EARLY","POST",89,"15-Jul-14",731734,8563158,"FEA","GGE"
"MAIN","PRE",90,"16-Jul-14",731574,8560844,"GYW","AGF"
"MAIN","PRE",94,"17-Jul-14",731692,8560988,"AGF","WBW"
"EARLY","POST",95,"17-Jul-14",731261,8562735,"FEA","YWB"
"EARLY","POST",99,"19-Jul-14",731250,8562822,"FEA","YWB"
"EARLY","POST",100,"19-Jul-14",731270,8562804,"FEA","YWB"
"EARLY","POST",101,"20-Jul-14",730574,8560198,"BAF","WEY"
"EARLY","POST",102,"20-Jul-14",730575,8560168,"BAF","WEY"
"EARLY","POST",103,"20-Jul-14",730607,8560216,"BAF","WEY"
"EARLY","POST",104,"20-Jul-14",731243,8561481,"WYW","BBF"
"EARLY","POST",105,"20-Jul-14",731315,8561542,"BBF","BWA"
"EARLY","POST",109,"21-Jul-14",730539,8563350,"EWW","EGE"
"EARLY","POST",110,"21-Jul-14",730928,8563334,"EWW","EGE"
"MAIN","POST",111,"21-Jul-14",731101,8561912,"AAY","EWE"
"MAIN","POST",113,"21-Jul-14",730561,8560074,"WEY","YFE"
"EARLY","POST",116,"22-Jul-14",730829,8563228,"EWW","EGE"
"EARLY","POST",121,"24-Jul-14",730833,8563220,"EWW","EGE"
"EARLY","POST",122,"23-Jul-14",730858,8563318,"EWW","EGE"
"EARLY","POST",123,"23-Jul-14",731268,8562724,"FEA","YWB"
"MAIN","POST",124,"23-Jul-14",732301,8560786,"YEY","WGW"
"MAIN","POST",125,"23-Jul-14",730544,8559984,"YFE","EXE"
"MAIN","PRE",126,NA,731056,8562358,"EWE","AAY"
"MAIN","PRE",127,NA,731108,8532354,"EWE","AAY"
"MAIN","PRE",128,NA,731152,8562344,"EWE","AAY"
"MAIN","PRE",129,NA,731192,8562324,"EWE","AAY"
"MAIN","PRE",130,NA,731262,8562304,"EWE","AAY"
"MAIN","PRE",131,NA,731277,8562214,"EWE","AAY"
"MAIN","PRE",132,NA,731234,8562218,"EWE","AAY"
"MAIN","POST",134,"24-Jul-14",731137,8561628,"WFW","WYW"
"MAIN","POST",136,"24-Jul-14",731281,8561582,"WFW","AWW"
"EARLY","POST",138,"24-Jul-14",731253,8562840,"FEA","YWB"
"EARLY","POST",139,"24-Jul-14",731444,8562835,"FEA","YWB"
"EARLY","POST",140,"24-Jul-14",731258,8562738,"FEA","YWB"
"MAIN","POST",142,"25-Jul-14",730577,8559694,"YFE","WEY"
"MAIN","POST",143,"25-Jul-14",730573,8559915,"YFE","WEY"
"MAIN","POST",145,"26-Jul-14",731225,8561518,"AAA","WYW"
"MAIN","POST",147,"26-Jul-14",731256,8561623,"WFW","WYW"
"MAIN","POST",148,"26-Jul-14",731263,8560756,"YYF","YFE"
"MAIN","POST",149,"26-Jul-14",731675,8560991,"WBW","GAG"
"MAIN","POST",150,"27-Jul-14",731142,8562160,"EWE","FYA"
"MAIN","POST",151,"27-Jul-14",731267,8561506,"AAA","WYW"
"EARLY","POST",152,"27-Jul-14",731185,8563272,"FEA","YWB"
"MAIN","POST",153,"27-Jul-14",730907,8563322,"AFF","EWW"
"MAIN","POST",154,"27-Jul-14",731778,8562387,"GEG","GGA"
"MAIN","POST",155,"28-Jul-14",731007,8562184,"AAY","EWE"
"MAIN","POST",156,"29-Jul-14",730498,8559996,"YFE","XXX"
"EARLY","POST",157,"29-Jul-14",730846,8563274,"EGE","EWW"
"EARLY","POST",158,"29-Jul-14",730912,8563248,"EGE","EWW"
"MAIN","POST",160,"31-Jul-14",731237,8561513,"WYW","YEW"
"MAIN","POST",162,"2-Aug-14",730881,8562124,"FYA","EWE"
"MAIN","POST",163,"3-Aug-14",731089,8562200,"EWE","FYA"
"MAIN","POST",164,"3-Aug-14",731440,8559556,"WYA","FFG"
"MAIN","POST",165,"3-Aug-14",731400,8559576,"WYA","FFG"
"MAIN","POST",166,"3-Aug-14",731108,8560940,"YYF","EGW"
"EARLY","POST",167,"3-Aug-14",731267,8563263,"FEA","YWB"
"MAIN","POST",172,"8-Aug-14",732244,8561004,"YEY","WGW"
"MAIN","POST",173,"13-Aug-14",731641,8561037,"AGF","WBW"
"MAIN","POST",174,"14-Aug-14",731409,8559540,"GWE","WYA"
"MAIN","POST",175,"26-Jul-14",NA,NA,"GEG","GGA"
"Y","Pre",5,"16-May-13",732353,8562049,"EAF","GGA"
"N","Pre",7,"19-May-13",731338,8562206,"AAY","BYY"
"N","Pre",34,"11-Jun-13",730797,8562632,"GFY","AFF"
"N","Pre",51,"23-Jun-13",NA,NA,"YAF","BWY"
"N","Pre",55,"24-Jun-13",730370,8560080,"YFE","GYG"
"N","Pre",71,"29-Jun-13",731152,8561421,"AAA","WYW"
"Y","Post",91,"13-Jul-13",730959,8563326,"FEA","YWB"
"Y","Post",103,"15-Jul-13",731149,8563146,"GGE","YWB"
"Y","Post",109,"16-Jul-13",731812,8562834,"BWB","BAB"
"N","Post",111,"18-Jul-13",731053,8561282,"YEW","FWA"
"N","Post",117,"19-Jul-13",731186,8561456,"YEW","BFW"
"Y","Post",122,"21-Jul-13",731931,8562593,"XXF","BAB"
"Y","Post",145,"28-Jul-13",731504,8561133,"XXY","EEW"
"Y","Post",151,"1-Aug-13",731993,8562576,"FAF","EAA"
"Y","Post",160,"5-Aug-13",730771,8563581,"AWG","EGE"
"N","Post",161,"6-Aug-13",731003,8561555,"YEW","WYW"
"Y","Post",163,"7-Aug-13",731217,8563128,"AFY","FEA"
"Y","Post",164,"7-Aug-13",731864,8562924,"BAG","UNB2"
"N","Post",173,"23-Aug-13",730612,8562128,"BWY","GFY"
"MAIN","PRE",3,"15-Jun-14",731050,8561318,"EGW","BBF"
"EARLY","PRE",33,"24-Jun-14",731030,8561187,"EGW","YYF"
"EARLY","POST",39,"26-Jun-14",731752,8563212,"FFW","XXW"
"EARLY","POST",44,"27-Jun-14",731109,8563069,"FEA","GGE"
"EARLY","POST",45,"27-Jun-14",731102,8563069,"FEA","GGE"
"MAIN","PRE",49,"27-Jun-14",NA,NA,"EEF","GWE"
"EARLY","POST",52,"28-Jun-14",731238,8563182,"YWB","FEA"
"EARLY","POST",54,"28-Jun-14",732327,8563871,"AGG","UNBAEG"
"MAIN","PRE",58,"30-Jun-14",731406,8559572,"WYA","YBY"
"MAIN","PRE",59,"30-Jun-14",731353,8559598,"WYA","YBY"
"MAIN","PRE",60,"30-Jun-14",731329,8559678,"WYA","YBY"
"MAIN","PRE",61,"1-Jul-14",731422,8559484,"WYA","YBY"
"MAIN","PRE",62,"1-Jul-14",731383,8559600,"WYA","YBY"
"EARLY","POST",63,"1-Jul-14",731198,8562900,"GGE","YWB"
"EARLY","POST",64,"2-Jul-14",731244,8562874,"YWB","FEA"
"EARLY","POST",65,"2-Jul-14",731262,8562867,"FEA","GGE"
"EARLY","POST",67,"3-Jul-14",731259,8562734,"GGE","YWB"
"MAIN","PRE",72,"5-Jul-14",731092,8561037,"YYF","EGW"
"MAIN","PRE",73,"5-Jul-14",731522,8559824,"FFG","YBY"
"EARLY","POST",77,"7-Jul-14",731186,8562798,"FEA","FBF"
"MAIN","PRE",78,"7-Jul-14",731262,8561415,"YYF","EGW"
"EARLY","POST",88,"14-Jul-14",731721,8563208,"FEA","FBF"
"EARLY","POST",89,"15-Jul-14",731734,8563158,"FEA","FBF"
"EARLY","POST",95,"17-Jul-14",731261,8562735,"FEA","FBF"
"EARLY","POST",99,"19-Jul-14",731250,8562822,"FEA","FBF"
"EARLY","POST",100,"19-Jul-14",731270,8562804,"FEA","FBF"
"EARLY","POST",101,"20-Jul-14",730574,8560198,"BAF","XXX"
"EARLY","POST",102,"20-Jul-14",730575,8560168,"BAF","XXX"
"EARLY","POST",104,"20-Jul-14",731243,8561481,"WYW","YYF"
"EARLY","POST",105,"20-Jul-14",731315,8561542,"BBF","YYF"
"MAIN","POST",111,"21-Jul-14",731101,8561912,"AAY","FYA"
"EARLY","POST",123,"23-Jul-14",731268,8562724,"FEA","AFY"
"MAIN","POST",124,"23-Jul-14",732301,8560786,"YEY","UNB1"
"MAIN","POST",125,"23-Jul-14",730544,8559984,"YFE","XXX"
"MAIN","POST",134,"24-Jul-14",731137,8561628,"WFW","AWW"
"EARLY","POST",138,"24-Jul-14",731253,8562840,"FEA","AFY"
"EARLY","POST",139,"24-Jul-14",731444,8562835,"FEA","AFY"
"EARLY","POST",140,"24-Jul-14",731258,8562738,"FEA","AFY"
"MAIN","POST",142,"25-Jul-14",730577,8559694,"YFE","XXX"
"MAIN","POST",143,"25-Jul-14",730573,8559915,"YFE","XXX"
"MAIN","POST",147,"26-Jul-14",731256,8561623,"WFW","YEW"
"MAIN","POST",148,"26-Jul-14",731263,8560756,"YYF","BWA"
"MAIN","POST",149,"26-Jul-14",731675,8560991,"WBW","XXY"
"EARLY","POST",152,"27-Jul-14",731185,8563272,"FEA","AFY"
"MAIN","POST",154,"27-Jul-14",731778,8562387,"GEG","EYF"
"MAIN","POST",156,"29-Jul-14",730498,8559996,"YFE","EXE"
"MAIN","POST",164,"3-Aug-14",731440,8559556,"WYA","YBY"
"MAIN","POST",165,"3-Aug-14",731400,8559576,"WYA","YBY"
"MAIN","POST",166,"3-Aug-14",731108,8560940,"YYF","BWA"
"EARLY","POST",167,"3-Aug-14",731267,8563263,"FEA","AFY"
"MAIN","POST",172,"8-Aug-14",732244,8561004,"YEY","UNB1"
"MAIN","POST",174,"14-Aug-14",731409,8559540,"GWE","FFG"
"MAIN","POST",175,"26-Jul-14",NA,NA,"GEG","EYF"
"N","Pre",34,"11-Jun-13",730797,8562632,"GFY","BEY"
"N","Pre",71,"29-Jun-13",731152,8561421,"AAA","BBF"
"Y","Post",91,"13-Jul-13",730959,8563326,"FEA","BEE"
"Y","Post",109,"16-Jul-13",731812,8562834,"BWB","XXF"
"N","Post",111,"18-Jul-13",731053,8561282,"YEW","BAA"
"Y","Post",122,"21-Jul-13",731931,8562593,"XXF","BWB"
"Y","Post",151,"1-Aug-13",731993,8562576,"FAF","XXF"
"Y","Post",160,"5-Aug-13",730771,8563581,"AWG","FBF"
"Y","Post",164,"7-Aug-13",731864,8562924,"BAG","FAF"
"EARLY","POST",44,"27-Jun-14",731109,8563069,"FEA","YWB"
"EARLY","POST",45,"27-Jun-14",731102,8563069,"FEA","YWB"
"MAIN","PRE",49,"27-Jun-14",NA,NA,"EEF","YBY"
"EARLY","POST",52,"28-Jun-14",731238,8563182,"YWB","FBF"
"MAIN","PRE",58,"30-Jun-14",731406,8559572,"WYA","EEF"
"MAIN","PRE",59,"30-Jun-14",731353,8559598,"WYA","EEF"
"MAIN","PRE",60,"30-Jun-14",731329,8559678,"WYA","EEF"
"MAIN","PRE",61,"1-Jul-14",731422,8559484,"WYA","EEF"
"MAIN","PRE",62,"1-Jul-14",731383,8559600,"WYA","EEF"
"EARLY","POST",63,"1-Jul-14",731198,8562900,"GGE","AFY"
"EARLY","POST",64,"2-Jul-14",731244,8562874,"YWB","FBF"
"EARLY","POST",65,"2-Jul-14",731262,8562867,"FEA","FBF"
"EARLY","POST",67,"3-Jul-14",731259,8562734,"GGE","AFY"
"EARLY","POST",77,"7-Jul-14",731186,8562798,"FEA","YWB"
"EARLY","POST",88,"14-Jul-14",731721,8563208,"FEA","YWB"
"EARLY","POST",89,"15-Jul-14",731734,8563158,"FEA","YWB"
"EARLY","POST",95,"17-Jul-14",731261,8562735,"FEA","GGE"
"EARLY","POST",99,"19-Jul-14",731250,8562822,"FEA","GGE"
"EARLY","POST",100,"19-Jul-14",731270,8562804,"FEA","GGE"
"EARLY","POST",104,"20-Jul-14",731243,8561481,"WYW","BWA"
"EARLY","POST",105,"20-Jul-14",731315,8561542,"BBF","EGW"
"MAIN","POST",111,"21-Jul-14",731101,8561912,"AAY","AAY"
"EARLY","POST",123,"23-Jul-14",731268,8562724,"FEA","GGE"
