from,to,colony,date,strength
N7,N8,2b,28/08/2013,1.00
N5,T2,2b,01/06/2017,10
N5,T2,2b,26/07/2012,5
N12,T2,2b,22/08/2016,5
N5,T2,2b,22/08/2016,5
N5,T3,2b,22/08/2016,5
N12,T2,2b,01/06/2017,5
N5,T2,2b,22/08/2017,5
N5,T2,2b,12/06/2018,5
N2,T2,2b,26/07/2012,3.33
N5,T2,2b,31/05/2013,3.33
N5,T2,2b,25/08/2014,3.33
N12,T2,2b,25/08/2014,3.33
N12,T3,2b,25/08/2014,3.33
N5,T3,2b,25/08/2015,3.33
N5,T4,2b,01/06/2017,3.33
N5,T4,2b,12/06/2018,3.33
N5,N6,2b,31/05/2013,2.5
N5,T2,2b,25/08/2015,2.5
N3,N4,2b,26/07/2012,2
N5,N6,2b,26/07/2012,2
N1,N11,2b,26/05/2014,2
N5,T2,2b,26/05/2014,2
N6,N9,2b,26/05/2014,2
N1,N14,2b,25/08/2014,2
N14,T1,2b,25/08/2014,2
N9,T3,2b,22/08/2016,2
N9,T4,2b,22/08/2017,2
N12,T2,2b,22/08/2017,2
N11,T1,2b,22/08/2017,2
N9,N6,2b,12/06/2018,2
N5,N13,2b,12/06/2018,2
N5,T3,2b,12/06/2018,2
N1,T1,2b,26/05/2014,1.67
N5,N13,2b,26/05/2014,1.67
N1,N10,2b,26/05/2014,1.43
N1,N11,2b,25/08/2014,1.43
N1,N10,2b,25/08/2014,1.25
N11,N12,2b,25/08/2014,1.25
N12,T3,2b,26/05/2014,1.11
N1,N11,2b,25/08/2015,1.11
N12,T2,2b,25/08/2015,1.11
N4,T2,2b,26/07/2012,1
N6,T3,2b,31/05/2013,1
N5,T2,2b,28/08/2013,1
N6,N13,2b,26/05/2014,1
N9,T4,2b,26/05/2014,1
N5,N6,2b,25/08/2014,1
N5,N7,2b,25/08/2014,1
N6,N9,2b,25/08/2014,1
N13,N6,2b,25/08/2015,1
N1,N11,2b,22/08/2016,1
N12,T3,2b,22/08/2016,1
N12,N16,2b,22/08/2016,1
N5,N17,2b,22/08/2016,1
N6,N9,2b,22/08/2016,1
N6,N9,2b,01/06/2017,1
N11,T1,2b,01/06/2017,1
N1,N5,2b,01/06/2017,1
N5,N17,2b,01/06/2017,1
N9,N6,2b,22/08/2017,1
N13,N5,2b,22/08/2017,1
N5,T4,2b,22/08/2017,1
N21,N19,2b,22/08/2017,1
N9,T4,2b,12/06/2018,1
N6,N13,2b,12/06/2018,1
N12,T2,2b,12/06/2018,1
N11,T1,2b,12/06/2018,1
N19,T6,2b,12/06/2018,1
N21,T6,2b,12/06/2018,1
N1,N4,2b,31/05/2013,0.91
N2,T3,2b,31/05/2013,0.83
N5,T3,2b,31/05/2013,0.83
N1,T2,2b,28/08/2013,0.83
N9,T3,2b,28/08/2013,0.83
N9,T4,2b,25/08/2014,0.83
N11,N12,2b,25/08/2015,0.83
N1,T1,2b,26/07/2012,0.77
N1,N2,2b,31/05/2013,0.77
N1,T1,2b,31/05/2013,0.71
N2,T2,2b,31/05/2013,0.67
N1,T1,2b,28/08/2013,0.67
N5,N6,2b,28/08/2013,0.67
N5,T3,2b,28/08/2013,0.67
N11,N12,2b,26/05/2014,0.67
N5,N12,2b,26/05/2014,0.67
N12,N16,2b,25/08/2015,0.67
N7,N5,2b,25/08/2015,0.67
N5,N13,2b,25/08/2015,0.56
N2,N4,2b,26/07/2012,0.5
N2,N5,2b,26/07/2012,0.5
N6,T3,2b,26/07/2012,0.5
N9,T4,2b,01/06/2017,0.5
N7,N18,2b,01/06/2017,0.5
N17,T5,2b,22/08/2017,0.5
N11,N12,2b,12/06/2018,0.5
N6,N9,2b,28/08/2013,0.4
N1,N12,2b,25/08/2014,0.4
N1,N16,2b,25/08/2015,0.4
N11,T1,2b,25/08/2015,0.4
N6,N9,2b,25/08/2015,0.4
N9,T4,2b,25/08/2015,0.4
N1,N2,2b,26/07/2012,0.33
N1,N3,2b,26/07/2012,0.33
N2,N4,2b,31/05/2013,0.33
N9,T3,2b,26/05/2014,0.33
N9,T3,2b,25/08/2014,0.33
N1,N12,2b,22/08/2016,0.33
N11,N12,2b,01/06/2017,0.33
N13,N6,2b,22/08/2017,0.33
N11,T2,2b,25/08/2015,0.29
N5,N17,2b,25/08/2015,0.29
N4,N5,2b,31/05/2013,0.25
N4,N7,2b,31/05/2013,0.25
N5,N7,2b,28/08/2013,0.25
N5,N7,2b,26/05/2014,0.25
N5,N12,2b,25/08/2014,0.25
N16,N7,2b,25/08/2015,0.25
N13,N6,2b,22/08/2016,0.2
N5,N13,2b,22/08/2016,0.2
N13,N6,2b,01/06/2017,0.2
N7,N19,2b,01/06/2017,0.2
N1,N12,2b,22/08/2017,0.2
N7,N19,2b,22/08/2017,0.2
N13,T2,2b,22/08/2016,0.17
N18,N7,2b,22/08/2016,0.1
N13,N5,2b,01/06/2017,0.1
N12,N11,2b,22/08/2017,0.1
N16,N11,2b,22/08/2017,0.1
N11,N16,2b,12/06/2018,0.1
N11,N1,2b,01/06/2017,0.08
N1,N12,2b,01/06/2017,0.05
N11,N12,2b,22/08/2016,0.03
N16,T2,2b,22/08/2016,0.03
N7,N5,2b,22/08/2016,0.03
N16,N18,2b,01/06/2017,0.03
N17,N20,2b,22/08/2017,0.03
N18,N7,2b,22/08/2017,0.03
N17,T5,2b,12/06/2018,0.03
N3,T1,2a,26/07/2012,10
N2,T2,2a,22/08/2016,10
N2,N4,2a,22/08/2016,5
N4,T2,2a,22/08/2016,5
N4,T2,2a,01/06/2017,5
N4,T2,2a,26/07/2012,3.33
N2,N4,2a,26/05/2014,3.33
N2,T1,2a,26/05/2014,3.33
N3,T1,2a,22/08/2016,3.33
N3,T1,2a,01/06/2017,3.33
N1,N2,2a,26/07/2012,2.5
N4,T2,2a,31/05/2013,2.5
N4,T2,2a,26/05/2014,2.5
N3,T1,2a,25/08/2014,2.5
N2,N4,2a,01/06/2017,2.5
N2,N4,2a,31/05/2013,2
N4,T2,2a,25/08/2015,2
N5,T3,2a,01/06/2017,2
N4,T2,2a,22/08/2017,2
N3,T1,2a,22/08/2017,2
N2,N4,2a,22/08/2017,2
N2,N3,2a,22/08/2017,2
N4,T2,2a,12/06/2018,2
N2,N7,2a,12/06/2018,2
N3,T1,2a,31/05/2013,1.67
N3,T1,2a,26/05/2014,1.67
N2,N3,2a,25/08/2015,1.43
N1,N3,2a,26/07/2012,1.25
N2,N4,2a,26/07/2012,1.25
N2,N5,2a,26/05/2014,1.25
N2,N3,2a,25/08/2014,1.25
N2,N4,2a,25/08/2014,1.25
N4,T2,2a,25/08/2014,1.25
N2,N3,2a,31/05/2013,1
N2,T1,2a,31/05/2013,1
N2,N3,2a,28/08/2013,1
N2,N4,2a,28/08/2013,1
N4,T2,2a,28/08/2013,1
N2,N3,2a,26/05/2014,1
N2,N5,2a,25/08/2014,1
N2,N5,2a,01/06/2017,1
N2,N3,2a,01/06/2017,1
N2,N5,2a,22/08/2017,1
N4,N2,2a,12/06/2018,1
N2,N3,2a,12/06/2018,1
N3,T1,2a,12/06/2018,1
N2,N5,2a,25/08/2015,0.83
N3,T1,2a,25/08/2015,0.83
N2,N4,2a,25/08/2015,0.77
N3,N4,2a,31/05/2013,0.67
N3,T1,2a,28/08/2013,0.67
N2,T1,2a,25/08/2014,0.67
N2,T1,2a,25/08/2015,0.63
N3,N4,2a,26/07/2012,0.5
N2,N5,2a,28/08/2013,0.5
N3,N4,2a,25/08/2014,0.5
N2,N3,2a,22/08/2016,0.5
N2,N5,2a,22/08/2016,0.5
N3,N4,2a,22/08/2016,0.5
N5,T3,2a,25/08/2015,0.4
N3,T2,2a,28/08/2013,0.33
N3,T2,2a,22/08/2016,0.33
N5,T3,2a,22/08/2016,0.33
N3,N4,2a,01/06/2017,0.1
N2,N6,2a,22/08/2017,0.03
N2,N3,12,31/05/2013,10
N5,T5,12,28/08/2013,10
N3,N9,12,26/05/2014,10
N4,T3,12,25/08/2014,10
N5,T5,12,25/08/2014,10
N3,N4,12,25/08/2015,10
N3,T3,12,25/08/2015,10
N4,T3,12,25/08/2015,10
N4,N17,12,25/08/2015,10
N4,N19,12,25/08/2015,10
N5,T5,12,25/08/2015,10
N3,T2,12,22/08/2016,10
N5,T5,12,22/08/2016,10
N3,N4,12,22/08/2017,10
N5,T5,12,22/08/2017,10
N4,T3,12,12/06/2018,10
N4,N3,12,12/06/2018,10
N3,T3,12,26/07/2012,5
N4,T3,12,26/07/2012,5
N5,T4,12,26/07/2012,5
N6,T7,12,26/07/2012,5
N4,T6,12,31/05/2013,5
N5,T5,12,31/05/2013,5
N4,T3,12,26/05/2014,5
N5,T4,12,26/05/2014,5
N9,T2,12,26/05/2014,5
N3,T2,12,25/08/2014,5
N4,T7,12,25/08/2014,5
N5,T4,12,25/08/2014,5
N17,T7,12,25/08/2015,5
N19,T11,12,25/08/2015,5
N20,T11,12,25/08/2015,5
N3,N4,12,22/08/2016,5
N4,T3,12,22/08/2016,5
N5,T4,12,01/06/2017,5
N3,N24,12,01/06/2017,5
N4,N15,12,01/06/2017,5
N15,N17,12,01/06/2017,5
N4,N15,12,22/08/2017,5
N1,N3,12,26/07/2012,3.33
N4,N6,12,26/07/2012,3.33
N3,T3,12,31/05/2013,3.33
N4,T3,12,31/05/2013,3.33
N3,N4,12,28/08/2013,3.33
N5,T4,12,28/08/2013,3.33
N3,N10,12,26/05/2014,3.33
N4,T7,12,26/05/2014,3.33
N5,T5,12,26/05/2014,3.33
N3,T1,12,25/08/2014,3.33
N4,T6,12,25/08/2014,3.33
N3,T1,12,25/08/2015,3.33
N4,N5,12,25/08/2015,3.33
N14,N15,12,22/08/2016,3.33
N17,T7,12,22/08/2016,3.33
N5,T5,12,01/06/2017,3.33
N3,T2,12,01/06/2017,3.33
N15,T6,12,22/08/2017,3.33
N15,N17,12,22/08/2017,3.33
N15,N5,12,12/06/2018,3.33
N15,N4,12,12/06/2018,3.33
N5,T5,12,12/06/2018,3.33
N5,T4,12,12/06/2018,3.33
N2,N3,12,26/07/2012,2.5
N3,N4,12,26/07/2012,2.5
N1,T1,12,31/05/2013,2.5
N3,N4,12,31/05/2013,2.5
N5,T4,12,31/05/2013,2.5
N7,T1,12,31/05/2013,2.5
N3,N4,12,25/08/2014,2.5
N13,T3,12,25/08/2015,2.5
N17,N19,12,25/08/2015,2.5
N5,N14,12,25/08/2015,2.5
N3,T3,12,22/08/2016,2.5
N17,N19,12,01/06/2017,2.5
N3,T1,12,28/08/2013,2
N3,N4,12,26/05/2014,2
N4,N8,12,26/05/2014,2
N5,T8,12,25/08/2015,2
N17,N19,12,22/08/2016,2
N19,T7,12,22/08/2016,2
N4,N15,12,22/08/2016,2
N17,T7,12,01/06/2017,2
N19,N21,12,01/06/2017,2
N3,T1,12,22/08/2017,2
N3,T2,12,22/08/2017,2
N5,T4,12,22/08/2017,2
N14,T7,12,12/06/2018,2
N14,N15,12,12/06/2018,2
N3,T1,12,12/06/2018,2
N4,T15,12,12/06/2018,2
N1,N3,12,31/05/2013,1.67
N2,T2,12,31/05/2013,1.67
N3,T2,12,28/08/2013,1.67
N3,T3,12,28/08/2013,1.67
N4,T6,12,28/08/2013,1.67
N10,T1,12,26/05/2014,1.67
N19,T10,12,25/08/2015,1.67
N4,T6,12,25/08/2015,1.67
N4,N5,12,26/07/2012,1.43
N4,T7,12,28/08/2013,1.25
N9,N10,12,26/05/2014,1.25
N19,N20,12,25/08/2015,1.25
N15,T6,12,22/08/2016,1.25
N1,N7,12,31/05/2013,1.11
N4,T3,12,28/08/2013,1.11
N17,N18,12,25/08/2015,1.11
N1,T1,12,26/07/2012,1
N12,T1,12,26/05/2014,1
N14,T6,12,22/08/2016,1
N4,N17,12,22/08/2016,1
N3,T1,12,01/06/2017,1
N4,T14,12,01/06/2017,1
N15,T6,12,01/06/2017,1
N21,T11,12,01/06/2017,1
N21,N23,12,01/06/2017,1
N19,T10,12,01/06/2017,1
N19,N22,12,01/06/2017,1
N3,N24,12,22/08/2017,1
N4,T13,12,22/08/2017,1
N15,N14,12,22/08/2017,1
N17,T7,12,22/08/2017,1
N17,N19,12,22/08/2017,1
N19,N21,12,22/08/2017,1
N14,N19,12,12/06/2018,1
N14,T6,12,12/06/2018,1
N4,N24,12,12/06/2018,1
N24,N26,12,12/06/2018,1
N5,N6,12,26/07/2012,0.91
N6,T6,12,26/07/2012,0.83
N10,N11,12,26/05/2014,0.83
N11,N12,12,26/05/2014,0.83
N3,T3,12,25/08/2014,0.83
N11,T1,12,26/05/2014,0.67
N8,T6,12,26/05/2014,0.67
N14,T6,12,25/08/2015,0.67
N15,T6,12,25/08/2015,0.67
N5,T4,12,25/08/2015,0.67
N2,T2,12,26/07/2012,0.63
N19,T7,12,25/08/2015,0.56
N5,T4,12,22/08/2016,0.56
N4,N5,12,31/05/2013,0.5
N3,T3,12,26/05/2014,0.5
N8,T7,12,26/05/2014,0.5
N14,N15,12,25/08/2015,0.5
N16,T6,12,25/08/2015,0.5
N3,T2,12,25/08/2015,0.5
N19,T12,12,01/06/2017,0.5
N22,T11,12,01/06/2017,0.5
N21,T11,12,22/08/2017,0.5
N21,T11,12,12/06/2018,0.5
N15,T6,12,12/06/2018,0.5
N3,T2,12,12/06/2018,0.5
N4,N13,12,25/08/2015,0.4
N4,N5,12,26/05/2014,0.33
N10,T2,12,26/05/2014,0.33
N5,T9,12,25/08/2015,0.33
N24,T1,12,01/06/2017,0.33
N4,T15,12,01/06/2017,0.33
N19,T16,12,01/06/2017,0.33
N24,N25,12,22/08/2017,0.33
N25,T1,12,22/08/2017,0.33
N4,N5,12,28/08/2013,0.25
N4,N5,12,25/08/2014,0.25
N4,N5,12,22/08/2016,0.2
N3,N4,12,01/06/2017,0.2
N4,N5,12,01/06/2017,0.2
N14,T6,12,01/06/2017,0.2
N19,T7,12,01/06/2017,0.2
N4,T17,12,22/08/2017,0.2
N19,T7,12,22/08/2017,0.2
N19,T7,12,12/06/2018,0.2
N24,T1,12,12/06/2018,0.2
N5,T5,12,26/07/2012,0.11
N4,T7,12,22/08/2016,0.1
N4,T13,12,01/06/2017,0.1
N15,N14,12,01/06/2017,0.1
N14,T6,12,22/08/2017,0.1
N4,T14,12,22/08/2017,0.05
N21,N23,12,22/08/2017,0.03
N23,T10,12,22/08/2017,0.03
N12,N13,10,26/07/2012,10
N13,T8,10,26/07/2012,10
N11,N14,10,31/05/2013,10
N14,T8,10,31/05/2013,10
N21,N22,10,25/08/2015,10
N11,N12,10,26/07/2012,5
N5,N6,10,26/07/2012,5
N5,N6,10,31/05/2013,5
N8,N9,10,31/05/2013,5
N17,T8,10,26/05/2014,5
N11,T8,10,25/08/2014,3.33
N8,N19,10,25/08/2014,3.33
N14,N17,10,28/08/2013,2.5
N6,N7,10,28/08/2013,2.5
N14,N17,10,26/05/2014,2.5
N24,N25,10,25/08/2015,2.5
N8,N9,10,25/08/2015,2.5
N6,T5,10,26/07/2012,2
N11,T6,10,25/08/2014,2
N11,N14,10,25/08/2015,2
N14,T8,10,22/08/2016,2
N1,N2,10,26/07/2012,1.67
N5,N16,10,28/08/2013,1.67
N11,N14,10,26/05/2014,1.67
N5,N6,10,26/05/2014,1.67
N9,N18,10,25/08/2014,1.67
N17,T8,10,25/08/2015,1.67
N5,T4,10,26/07/2012,1.43
N11,T5,10,28/08/2013,1.43
N14,T8,10,28/08/2013,1.43
N6,N16,10,28/08/2013,1.43
N5,N6,10,25/08/2014,1.43
N14,N17,10,25/08/2015,1.43
N8,N9,10,22/08/2016,1.43
N24,N25,10,22/08/2016,1.33
N6,N7,10,25/08/2015,1.25
N11,N14,10,22/08/2016,1.25
N1,T1,10,26/07/2012,1.11
N5,T2,10,25/08/2014,1.11
N11,T6,10,26/07/2012,1
N13,T7,10,26/07/2012,1
N3,N4,10,26/07/2012,1
N5,T2,10,26/07/2012,1
N5,T3,10,26/07/2012,1
N6,N7,10,26/07/2012,1
N6,T6,10,26/07/2012,1
N7,N9,10,26/07/2012,1
N8,N9,10,26/07/2012,1
N8,N10,10,26/07/2012,1
N8,N10,10,31/05/2013,1
N11,N14,10,28/08/2013,1
N17,T8,10,28/08/2013,1
N5,T2,10,28/08/2013,1
N8,N9,10,28/08/2013,1
N8,T8,10,28/08/2013,1
N8,N9,10,25/08/2014,1
N8,T8,10,25/08/2014,1
N14,T8,10,12/06/2018,1
N21,N11,10,12/06/2018,1
N7,N8,10,28/08/2013,0.91
N11,T5,10,26/07/2012,0.83
N10,N11,10,31/05/2013,0.83
N5,T2,10,26/05/2014,0.83
N6,N7,10,26/05/2014,0.83
N10,N13,10,26/07/2012,0.77
N5,N24,10,22/08/2016,0.77
N7,N8,10,25/08/2015,0.71
N2,N3,10,26/07/2012,0.67
N10,N14,10,31/05/2013,0.67
N6,N15,10,28/08/2013,0.67
N9,T8,10,28/08/2013,0.67
N11,T6,10,26/05/2014,0.67
N8,N9,10,26/05/2014,0.67
N9,N18,10,26/05/2014,0.67
N9,T8,10,25/08/2014,0.67
N8,T8,10,25/08/2015,0.67
N9,T8,10,25/08/2015,0.67
N11,N21,10,25/08/2015,0.63
N6,T5,10,25/08/2015,0.59
N26,N27,10,22/08/2016,0.56
N8,T8,10,22/08/2016,0.53
N5,T3,10,28/08/2013,0.5
N11,N17,10,26/05/2014,0.5
N11,T5,10,26/05/2014,0.5
N7,N8,10,26/05/2014,0.5
N6,N7,10,25/08/2014,0.5
N6,N20,10,25/08/2014,0.5
N7,N8,10,25/08/2014,0.5
N8,N27,10,22/08/2016,0.5
N28,N7,10,01/06/2017,0.5
N11,N21,10,22/08/2017,0.5
N11,N22,10,22/08/2017,0.5
N31,N30,10,22/08/2017,0.5
N14,N11,10,12/06/2018,0.5
N32,N5,10,12/06/2018,0.5
N9,T8,10,31/05/2013,0.45
N6,N11,10,31/05/2013,0.4
N9,T8,10,26/05/2014,0.4
N11,T8,10,25/08/2015,0.4
N23,N24,10,25/08/2015,0.4
N5,N23,10,25/08/2015,0.4
N9,T8,10,22/08/2016,0.34
N10,N11,10,26/07/2012,0.33
N14,T8,10,25/08/2015,0.33
N5,T2,10,22/08/2016,0.33
N6,N26,10,22/08/2016,0.33
N22,N11,10,01/06/2017,0.33
N11,N14,10,01/06/2017,0.33
N11,N14,10,22/08/2017,0.33
N3,N5,10,26/07/2012,0.29
N5,T2,10,31/05/2013,0.29
N23,T2,10,25/08/2015,0.29
N8,N22,10,25/08/2015,0.29
N9,N22,10,25/08/2015,0.29
N11,T5,10,31/05/2013,0.25
N6,N7,10,31/05/2013,0.25
N6,N11,10,26/05/2014,0.25
N8,N11,10,25/08/2014,0.25
N11,N22,10,22/08/2016,0.25
N6,N7,10,22/08/2016,0.25
N28,N8,10,01/06/2017,0.2
N30,N31,10,01/06/2017,0.2
N30,N5,10,01/06/2017,0.2
N14,T8,10,22/08/2017,0.2
N6,T5,10,22/08/2016,0.13
N7,N22,10,22/08/2016,0.13
N11,N21,10,01/06/2017,0.1
N22,N14,10,01/06/2017,0.1
N34,N21,10,22/08/2017,0.1
N29,N9,10,22/08/2017,0.1
N11,N21,10,22/08/2016,0.09
N32,N30,10,01/06/2017,0.08
N29,N9,10,01/06/2017,0.08
N6,N32,10,01/06/2017,0.08
N6,N21,10,22/08/2016,0.07
N9,N8,10,01/06/2017,0.07
N21,N22,10,22/08/2016,0.06
N5,T4,10,22/08/2016,0.03
N5,N6,10,22/08/2016,0.03
N28,N22,10,01/06/2017,0.03
N7,N6,10,01/06/2017,0.03
N32,N5,10,01/06/2017,0.03
N29,N7,10,01/06/2017,0.03
N8,N9,10,22/08/2017,0.03
N7,N29,10,22/08/2017,0.03
N34,N33,10,22/08/2017,0.03
N33,N35,10,22/08/2017,0.03
N5,T5,10,12/06/2018,0.03
N32,N30,10,12/06/2018,0.03
N1,T2,9,26/07/2012,10
N2,N3,9,26/07/2012,10
N2,T2,9,26/07/2012,10
N3,N4,9,26/07/2012,10
N3,T2,9,26/07/2012,10
N4,T4,9,26/07/2012,10
N4,T10,9,26/07/2012,10
N5,T10,9,26/07/2012,10
N6,T10,9,26/07/2012,10
N12,T10,9,31/05/2013,10
N4,N10,9,31/05/2013,10
N4,T4,9,31/05/2013,10
N4,T10,9,31/05/2013,10
N5,T10,9,31/05/2013,10
N1,T2,9,28/08/2013,10
N4,T3,9,28/08/2013,10
N4,T4,9,28/08/2013,10
N5,T10,9,28/08/2013,10
N4,N8,9,26/05/2014,10
N4,T4,9,26/05/2014,10
