from,to,colony,date,strength
N4,T9,6,26/07/2012,5
N7,N9,6,26/07/2012,5
N12,T6,6,26/05/2014,5
N12,T7,6,26/05/2014,5
N12,T2,6,25/08/2014,5
N15,T2,6,25/08/2014,5
N7,N15,6,25/08/2014,5
N10,N12,6,25/08/2015,5
N3,N19,6,22/08/2016,5
N5,N6,6,22/08/2016,5
N7,N9,6,01/06/2017,5
N12,T9,6,26/07/2012,3.33
N14,T7,6,26/07/2012,3.33
N3,T1,6,26/07/2012,3.33
N8,T3,6,26/07/2012,3.33
N9,T2,6,26/07/2012,3.33
N12,T9,6,26/05/2014,3.33
N16,T5,6,26/05/2014,3.33
N6,T5,6,26/05/2014,3.33
N7,N15,6,26/05/2014,3.33
N9,T2,6,26/05/2014,3.33
N5,T2,6,25/08/2014,3.33
N9,N15,6,25/08/2015,3.33
N12,N30,6,22/08/2016,3.33
N15,T2,6,22/08/2016,3.33
N25,T6,6,22/08/2016,3.33
N5,N7,6,22/08/2016,3.33
N25,T6,6,01/06/2017,3.33
N10,N11,6,26/07/2012,2.5
N5,N7,6,31/05/2013,2.5
N12,T2,6,28/08/2013,2.5
N12,T5,6,28/08/2013,2.5
N15,T2,6,28/08/2013,2.5
N10,N17,6,25/08/2014,2.5
N4,N5,6,25/08/2014,2.5
N7,N9,6,25/08/2014,2.5
N12,T5,6,25/08/2015,2.5
N5,N19,6,22/08/2016,2.5
N6,N12,6,22/08/2016,2.5
N12,T6,6,26/07/2012,2
N7,N8,6,26/07/2012,2
N12,T9,6,28/08/2013,2
N10,N12,6,26/05/2014,2
N14,T7,6,26/05/2014,2
N5,T2,6,26/05/2014,2
N12,T3,6,25/08/2014,2
N17,T5,6,25/08/2014,2
N5,N6,6,25/08/2014,2
N6,N7,6,25/08/2014,2
N1,N2,6,25/08/2015,2
N12,T6,6,25/08/2015,2
N12,N25,6,25/08/2015,2
N12,N24,6,25/08/2015,2
N15,T3,6,25/08/2015,2
N19,N4,6,25/08/2015,2
N23,T5,6,25/08/2015,2
N25,T6,6,25/08/2015,2
N6,N7,6,25/08/2015,2
N15,T3,6,22/08/2016,2
N15,T4,6,22/08/2016,2
N19,N4,6,22/08/2016,2
N32,T2,6,22/08/2016,2
N32,N28,6,22/08/2016,2
N5,T2,6,22/08/2016,2
N7,N12,6,22/08/2016,2
N12,T5,6,01/06/2017,2
N7,N15,6,01/06/2017,2
N9,T2,6,01/06/2017,2
N32,T2,6,01/06/2017,2
N32,N39,6,01/06/2017,2
N25,T7,6,22/08/2017,2
N25,T6,6,22/08/2017,2
N15,T2,6,22/08/2017,2
N25,T6,6,12/06/2018,2
N12,N30,6,12/06/2018,2
N15,T4,6,12/06/2018,2
N7,N9,6,12/06/2018,2
N9,T2,6,12/06/2018,2
N7,N5,6,12/06/2018,2
N1,T1,6,26/07/2012,1.67
N2,N3,6,26/07/2012,1.67
N1,N2,6,31/05/2013,1.67
N10,N11,6,31/05/2013,1.67
N4,N5,6,31/05/2013,1.67
N10,T5,6,28/08/2013,1.67
N2,T1,6,28/08/2013,1.67
N1,T1,6,26/05/2014,1.67
N7,T2,6,26/05/2014,1.67
N15,T3,6,25/08/2014,1.67
N15,T4,6,25/08/2015,1.67
N22,N23,6,25/08/2015,1.67
N1,N2,6,26/07/2012,1.43
N6,N7,6,26/07/2012,1.43
N10,N12,6,31/05/2013,1.43
N14,T7,6,31/05/2013,1.43
N5,N9,6,31/05/2013,1.43
N7,N10,6,31/05/2013,1.43
N2,N3,6,26/05/2014,1.43
N6,N10,6,25/08/2014,1.43
N7,T3,6,25/08/2015,1.43
N12,N13,6,26/07/2012,1.25
N6,N10,6,31/05/2013,1.25
N12,T3,6,28/08/2013,1.25
N12,T5,6,26/05/2014,1.25
N7,N9,6,26/05/2014,1.25
N10,N12,6,25/08/2014,1.25
N17,N20,6,25/08/2015,1.25
N25,N12,6,22/08/2017,1.2
N10,N12,6,26/07/2012,1.11
N11,N12,6,26/07/2012,1
N8,T4,6,26/07/2012,1
N2,N3,6,31/05/2013,1
N2,T1,6,31/05/2013,1
N6,N7,6,31/05/2013,1
N1,N2,6,28/08/2013,1
N12,T6,6,28/08/2013,1
N4,N5,6,28/08/2013,1
N5,N9,6,28/08/2013,1
N6,N7,6,28/08/2013,1
N9,T2,6,28/08/2013,1
N12,N14,6,26/05/2014,1
N2,T1,6,26/05/2014,1
N6,N10,6,26/05/2014,1
N12,T5,6,25/08/2014,1
N12,T6,6,25/08/2014,1
N12,T7,6,25/08/2015,1
N24,T5,6,25/08/2015,1
N5,N9,6,25/08/2015,1
N12,N25,6,22/08/2016,1
N2,N3,6,22/08/2016,1
N25,N26,6,22/08/2016,1
N9,T2,6,22/08/2016,1
N25,T7,6,01/06/2017,1
N25,N12,6,01/06/2017,1
N12,N30,6,01/06/2017,1
N24,N7,6,01/06/2017,1
N15,T4,6,01/06/2017,1
N4,N19,6,01/06/2017,1
N19,T2,6,01/06/2017,1
N33,N32,6,01/06/2017,1
N32,N34,6,01/06/2017,1
N25,N41,6,22/08/2017,1
N12,N30,6,22/08/2017,1
N30,T5,6,22/08/2017,1
N7,N9,6,22/08/2017,1
N9,T2,6,22/08/2017,1
N3,N19,6,22/08/2017,1
N37,N35,6,22/08/2017,1
N32,T2,6,22/08/2017,1
N32,N39,6,22/08/2017,1
N30,N42,6,22/08/2017,1
N42,T4,6,22/08/2017,1
N25,T7,6,12/06/2018,1
N25,N38,6,12/06/2018,1
N30,T5,6,12/06/2018,1
N6,N7,6,12/06/2018,1
N15,T3,6,26/05/2014,0.91
N15,T4,6,26/05/2014,0.91
N13,N14,6,26/07/2012,0.83
N14,T8,6,31/05/2013,0.83
N14,T7,6,28/08/2013,0.83
N3,N4,6,28/08/2013,0.83
N7,N9,6,28/08/2013,0.83
N5,N9,6,25/08/2014,0.83
N10,N17,6,25/08/2015,0.83
N9,T2,6,25/08/2015,0.83
N14,T8,6,26/07/2012,0.67
N9,T2,6,31/05/2013,0.67
N10,N12,6,28/08/2013,0.67
N1,N2,6,26/05/2014,0.67
N1,T1,6,25/08/2014,0.67
N12,T7,6,25/08/2014,0.67
N12,N21,6,25/08/2015,0.67
N17,N22,6,25/08/2015,0.67
N11,N12,6,31/05/2013,0.63
N25,N26,6,25/08/2015,0.63
N9,T2,6,25/08/2014,0.59
N26,T7,6,25/08/2015,0.59
N3,N4,6,31/05/2013,0.53
N13,T6,6,26/07/2012,0.5
N4,N5,6,26/07/2012,0.5
N5,N6,6,26/07/2012,0.5
N6,N10,6,26/07/2012,0.5
N12,N14,6,31/05/2013,0.5
N5,T2,6,31/05/2013,0.5
N2,N3,6,28/08/2013,0.5
N5,N7,6,28/08/2013,0.5
N3,N4,6,26/05/2014,0.5
N5,N16,6,26/05/2014,0.5
N6,N12,6,26/05/2014,0.5
N12,N22,6,25/08/2015,0.5
N12,N23,6,25/08/2015,0.5
N23,N24,6,25/08/2015,0.5
N12,N31,6,22/08/2016,0.5
N2,T1,6,22/08/2016,0.5
N26,T7,6,22/08/2016,0.5
N26,T7,6,01/06/2017,0.5
N30,T5,6,01/06/2017,0.5
N38,N12,6,01/06/2017,0.5
N24,N6,6,01/06/2017,0.5
N7,T2,6,01/06/2017,0.5
N19,N3,6,01/06/2017,0.5
N39,N28,6,01/06/2017,0.5
N34,N35,6,01/06/2017,0.5
N26,T7,6,22/08/2017,0.5
N30,N38,6,22/08/2017,0.5
N38,T6,6,22/08/2017,0.5
N15,T4,6,22/08/2017,0.5
N19,T2,6,22/08/2017,0.5
N34,N35,6,22/08/2017,0.5
N34,N32,6,22/08/2017,0.5
N32,N33,6,22/08/2017,0.5
N32,N27,6,22/08/2017,0.5
N26,T7,6,12/06/2018,0.5
N25,N12,6,12/06/2018,0.5
N12,N6,6,12/06/2018,0.5
N15,T3,6,12/06/2018,0.5
N15,T2,6,12/06/2018,0.5
N5,T2,6,12/06/2018,0.5
N47,N48,6,12/06/2018,0.5
N3,T1,6,31/05/2013,0.45
N3,N4,6,26/07/2012,0.4
N12,T8,6,31/05/2013,0.4
N6,N10,6,28/08/2013,0.4
N14,T9,6,26/05/2014,0.4
N1,N3,6,25/08/2014,0.4
N7,N10,6,25/08/2014,0.4
N1,T1,6,25/08/2015,0.4
N2,N3,6,25/08/2015,0.4
N2,T1,6,25/08/2015,0.4
N14,T9,6,26/07/2012,0.33
N4,N6,6,26/07/2012,0.33
N4,N6,6,31/05/2013,0.33
N4,N7,6,31/05/2013,0.33
N5,N6,6,28/08/2013,0.33
N5,T2,6,28/08/2013,0.33
N5,N7,6,26/05/2014,0.33
N6,N16,6,26/05/2014,0.33
N7,N16,6,26/05/2014,0.33
N3,N4,6,25/08/2014,0.33
N6,N10,6,25/08/2015,0.33
N28,N29,6,22/08/2016,0.33
N15,T3,6,01/06/2017,0.33
N25,N43,6,22/08/2017,0.33
N41,N12,6,22/08/2017,0.33
N15,T5,6,12/06/2018,0.33
N12,N14,6,28/08/2013,0.29
N15,N23,6,25/08/2015,0.29
N3,N19,6,25/08/2015,0.29
N4,N5,6,25/08/2015,0.29
N7,T4,6,31/05/2013,0.25
N4,N5,6,26/05/2014,0.25
N30,T6,6,22/08/2016,0.25
N30,T5,6,22/08/2016,0.25
N38,T5,6,01/06/2017,0.2
N12,N24,6,01/06/2017,0.2
N6,N5,6,01/06/2017,0.2
N35,N36,6,01/06/2017,0.2
N43,T6,6,22/08/2017,0.2
N25,N38,6,22/08/2017,0.2
N12,N44,6,22/08/2017,0.2
N24,N6,6,22/08/2017,0.2
N33,T2,6,22/08/2017,0.2
N27,T2,6,22/08/2017,0.2
N12,N15,6,22/08/2016,0.1
N25,N31,6,22/08/2016,0.1
N28,T2,6,22/08/2016,0.1
N9,N32,6,22/08/2016,0.1
N38,T6,6,01/06/2017,0.1
N6,T2,6,01/06/2017,0.1
N39,N40,6,01/06/2017,0.1
N36,N37,6,01/06/2017,0.1
N25,N26,6,22/08/2017,0.1
N4,N19,6,22/08/2017,0.1
N38,T5,6,12/06/2018,0.1
N15,T2,6,01/06/2017,0.05
N46,N35,6,12/06/2018,0.05
N12,N24,6,22/08/2016,0.03
N15,N24,6,22/08/2016,0.03
N23,T5,6,22/08/2016,0.03
N23,N24,6,22/08/2016,0.03
N24,T5,6,22/08/2016,0.03
N32,N27,6,22/08/2016,0.03
N12,N6,6,01/06/2017,0.03
N32,N27,6,01/06/2017,0.03
N40,N29,6,01/06/2017,0.03
N5,N19,6,01/06/2017,0.03
N44,N24,6,22/08/2017,0.03
N7,N24,6,22/08/2017,0.03
N3,T1,6,22/08/2017,0.03
N7,N5,6,22/08/2017,0.03
N39,N40,6,22/08/2017,0.03
N35,N36,6,12/06/2018,0.03
N37,N47,6,12/06/2018,0.03
N45,T2,6,12/06/2018,0.03
N39,N45,6,12/06/2018,0.03
N15,T5,3,26/07/2012,10
N15,T4,3,26/07/2012,10
N16,T6,3,26/07/2012,10
N2,T2,3,26/07/2012,10
N3,N5,3,26/07/2012,10
N5,N6,3,26/07/2012,10
N6,N7,3,26/07/2012,10
N6,T2,3,26/07/2012,10
N15,N16,3,31/05/2013,10
N16,T6,3,31/05/2013,10
N3,N5,3,31/05/2013,10
N5,N6,3,31/05/2013,10
N6,T2,3,31/05/2013,10
N5,T3,3,28/08/2013,10
N16,N18,3,26/05/2014,10
N5,N6,3,26/05/2014,10
N6,T2,3,26/05/2014,10
N15,T4,3,25/08/2014,10
N16,N25,3,25/08/2014,10
N5,N6,3,25/08/2014,10
N6,T2,3,25/08/2014,10
N11,T3,3,25/08/2015,10
N15,T4,3,25/08/2015,10
N15,T5,3,25/08/2015,10
N20,N26,3,25/08/2015,10
N5,T3,3,25/08/2015,10
N6,T2,3,25/08/2015,10
N6,N5,3,25/08/2015,10
N11,T3,3,22/08/2016,10
N15,T5,3,22/08/2016,10
N16,T5,3,22/08/2016,10
N16,T6,3,22/08/2016,10
N28,N26,3,22/08/2016,10
N5,N11,3,22/08/2016,10
N5,T3,3,22/08/2016,10
N5,N7,3,22/08/2016,10
N5,T2,3,22/08/2016,10
N6,T2,3,22/08/2016,10
N6,N5,3,22/08/2016,10
N5,T3,3,01/06/2017,10
N5,N6,3,01/06/2017,10
N6,T2,3,01/06/2017,10
N5,T3,3,22/08/2017,10
N5,N6,3,22/08/2017,10
N6,T2,3,22/08/2017,10
N2,N6,3,12/06/2018,10
N6,N5,3,12/06/2018,10
N6,T2,3,12/06/2018,10
N5,T3,3,12/06/2018,10
N1,N2,3,26/07/2012,5
N16,T5,3,26/07/2012,5
N2,T1,3,26/07/2012,5
N8,N15,3,26/07/2012,5
N15,N16,3,26/07/2012,5
N3,N6,3,31/05/2013,5
N5,N11,3,31/05/2013,5
N16,T6,3,28/08/2013,5
N15,T4,3,26/05/2014,5
N7,N11,3,26/05/2014,5
N7,T4,3,26/05/2014,5
N11,N17,3,25/08/2014,5
N16,T6,3,25/08/2014,5
N23,T5,3,25/08/2014,5
N24,T5,3,25/08/2014,5
N25,T6,3,25/08/2014,5
N11,N20,3,25/08/2015,5
N5,N11,3,25/08/2015,5
N5,N7,3,25/08/2015,5
N11,N7,3,22/08/2016,5
N15,T4,3,22/08/2016,5
N2,N6,3,22/08/2016,5
N26,T10,3,22/08/2016,5
N7,T2,3,22/08/2016,5
N26,N30,3,01/06/2017,5
N7,N5,3,01/06/2017,5
N5,N2,3,01/06/2017,5
N15,T4,3,01/06/2017,5
N15,T5,3,01/06/2017,5
N11,T3,3,22/08/2017,5
N5,N7,3,12/06/2018,5
N15,T5,3,12/06/2018,5
N16,T6,3,12/06/2018,5
N2,N3,3,26/07/2012,3.33
N5,T3,3,26/07/2012,3.33
N7,N8,3,26/07/2012,3.33
N8,T4,3,26/07/2012,3.33
N5,N7,3,31/05/2013,3.33
N15,T4,3,28/08/2013,3.33
N6,T2,3,28/08/2013,3.33
N15,N16,3,26/05/2014,3.33
N15,T5,3,26/05/2014,3.33
N16,T6,3,26/05/2014,3.33
N18,T6,3,26/05/2014,3.33
N15,T5,3,25/08/2014,3.33
N15,N23,3,25/08/2014,3.33
N16,N18,3,25/08/2014,3.33
N5,N7,3,25/08/2014,3.33
N6,N7,3,25/08/2014,3.33
N18,T7,3,25/08/2014,3.33
N11,N7,3,25/08/2015,3.33
N16,N25,3,25/08/2015,3.33
N16,T6,3,25/08/2015,3.33
N20,N7,3,25/08/2015,3.33
N20,N27,3,25/08/2015,3.33
N26,T11,3,25/08/2015,3.33
N2,N5,3,22/08/2016,3.33
N26,N28,3,01/06/2017,3.33
N20,N11,3,01/06/2017,3.33
N11,T3,3,01/06/2017,3.33
N16,T6,3,01/06/2017,3.33
N5,N11,3,12/06/2018,3.33
N11,T3,3,12/06/2018,3.33
N7,N33,3,12/06/2018,3.33
N15,T4,3,12/06/2018,3.33
N26,N30,3,12/06/2018,3.33
N5,N14,3,31/05/2013,2.5
N15,T5,3,28/08/2013,2.5
N6,N7,3,26/05/2014,2.5
N18,T8,3,25/08/2014,2.5
N2,N6,3,25/08/2014,2.5
N23,N24,3,25/08/2014,2.5
N5,N11,3,25/08/2014,2.5
N7,T4,3,25/08/2014,2.5
N2,N6,3,25/08/2015,2.5
N25,T6,3,25/08/2015,2.5
N11,N20,3,22/08/2016,2.5
N26,N20,3,01/06/2017,2.5
N6,N2,3,01/06/2017,2.5
N26,N30,3,22/08/2017,2.5
N15,T5,3,22/08/2017,2.5
N11,N15,3,22/08/2016,2.33
N1,N5,3,31/05/2013,2
N7,N14,3,31/05/2013,2
N5,N6,3,28/08/2013,2
N5,N7,3,28/08/2013,2
N11,N17,3,26/05/2014,2
N2,N6,3,26/05/2014,2
N5,N19,3,25/08/2014,2
N18,T6,3,25/08/2014,2
N15,N16,3,25/08/2015,2
N20,N7,3,22/08/2016,2
N30,T18,3,01/06/2017,2
N28,N34,3,01/06/2017,2
N34,N35,3,01/06/2017,2
N2,T9,3,01/06/2017,2
N15,N33,3,01/06/2017,2
N30,T18,3,22/08/2017,2
N26,N28,3,22/08/2017,2
N20,N11,3,22/08/2017,2
N11,N5,3,22/08/2017,2
N15,T4,3,22/08/2017,2
N20,N37,3,12/06/2018,2
N30,T18,3,12/06/2018,2
N28,N32,3,12/06/2018,2
N28,T22,3,12/06/2018,2
N11,N12,3,31/05/2013,1.67
N15,T4,3,31/05/2013,1.67
N7,N11,3,31/05/2013,1.67
N5,N7,3,26/05/2014,1.67
N2,T2,3,31/05/2013,1.43
N18,T7,3,26/05/2014,1.43
N2,T2,3,25/08/2015,1.43
N20,N26,3,22/08/2016,1.43
N15,N16,3,28/08/2013,1.25
N7,N15,3,28/08/2013,1.25
N15,N16,3,25/08/2014,1.25
N2,T1,3,22/08/2016,1.25
N9,N10,3,26/07/2012,1
N15,T5,3,31/05/2013,1
N5,T3,3,31/05/2013,1
N7,N15,3,31/05/2013,1
N11,T3,3,28/08/2013,1
N5,N11,3,28/08/2013,1
N7,N11,3,28/08/2013,1
N7,T4,3,28/08/2013,1
N7,N15,3,26/05/2014,1
N17,N20,3,25/08/2014,1
N20,N21,3,25/08/2014,1
N5,T3,3,25/08/2014,1
N7,N22,3,25/08/2014,1
N19,T3,3,25/08/2014,1
N2,T2,3,22/08/2016,1
N26,N29,3,01/06/2017,1
N26,T11,3,01/06/2017,1
N29,T16,3,01/06/2017,1
N11,N5,3,01/06/2017,1
N6,T1,3,01/06/2017,1
N16,N25,3,01/06/2017,1
N25,T6,3,01/06/2017,1
N30,T20,3,22/08/2017,1
N29,T16,3,22/08/2017,1
N26,N29,3,22/08/2017,1
N26,T11,3,22/08/2017,1
N20,N26,3,22/08/2017,1
N6,T9,3,22/08/2017,1
N15,N33,3,22/08/2017,1
N16,T6,3,22/08/2017,1
N16,N25,3,12/06/2018,1
N25,T6,3,12/06/2018,1
N11,N20,3,12/06/2018,1
N26,T23,3,12/06/2018,1
N32,T10,3,12/06/2018,1
N28,N34,3,12/06/2018,1
N11,N12,3,28/08/2013,0.91
N5,N11,3,26/05/2014,0.83
N11,N20,3,25/08/2014,0.83
N15,N22,3,25/08/2014,0.83
N7,N11,3,25/08/2014,0.83
N22,T4,3,25/08/2014,0.83
N11,N13,3,31/05/2013,0.77
N4,N5,3,26/07/2012,0.67
N8,N9,3,26/07/2012,0.67
N11,T3,3,26/05/2014,0.67
N5,T3,3,26/05/2014,0.67
N11,N21,3,25/08/2014,0.67
N20,T3,3,25/08/2015,0.67
N15,N16,3,22/08/2016,0.67
N26,T11,3,22/08/2016,0.67
N7,N15,3,25/08/2015,0.59
N2,T9,3,25/08/2015,0.56
N5,N7,3,26/07/2012,0.5
N16,T8,3,31/05/2013,0.5
N2,N6,3,31/05/2013,0.5
N7,T2,3,31/05/2013,0.5
N16,T8,3,25/08/2015,0.5
N20,T3,3,22/08/2016,0.5
N25,T6,3,22/08/2016,0.5
N29,T17,3,01/06/2017,0.5
N20,T10,3,22/08/2017,0.5
N20,N36,3,22/08/2017,0.5
N28,N34,3,22/08/2017,0.5
N7,N20,3,22/08/2017,0.5
N5,T9,3,22/08/2017,0.5
N16,N25,3,22/08/2017,0.5
N25,T6,3,22/08/2017,0.5
N2,N5,3,12/06/2018,0.5
N29,T16,3,12/06/2018,0.5
N26,T10,3,12/06/2018,0.5
N28,N26,3,12/06/2018,0.5
N1,N2,3,31/05/2013,0.4
N2,N5,3,26/05/2014,0.4
N2,T2,3,25/08/2014,0.4
N1,T3,3,31/05/2013,0.33
N2,N6,3,28/08/2013,0.33
N17,N21,3,25/08/2014,0.33
N26,T10,3,25/08/2015,0.33
N15,T2,3,22/08/2016,0.33
N7,N15,3,22/08/2016,0.33
N26,T13,3,01/06/2017,0.33
N26,N31,3,01/06/2017,0.33
N29,T15,3,22/08/2017,0.33
N29,T15,3,01/06/2017,0.2
N30,T19,3,01/06/2017,0.2
N11,N7,3,01/06/2017,0.2
N15,N16,3,01/06/2017,0.2
N7,N11,3,22/08/2017,0.2
N5,N7,3,22/08/2017,0.2
N6,N2,3,22/08/2017,0.2
N5,N2,3,22/08/2017,0.2
N30,T11,3,12/06/2018,0.2
N2,T2,3,28/08/2013,0.14
N26,T14,3,22/08/2016,0.13
N20,N28,3,22/08/2016,0.1
N29,T12,3,01/06/2017,0.1
N30,T20,3,01/06/2017,0.1
N26,N32,3,01/06/2017,0.1
N20,T3,3,01/06/2017,0.1
N26,T10,3,01/06/2017,0.1
N32,T10,3,01/06/2017,0.1
N26,T12,3,22/08/2017,0.1
N34,T22,3,22/08/2017,0.1
N15,N16,3,22/08/2017,0.1
N20,N15,3,22/08/2016,0.09
N26,T13,3,22/08/2016,0.05
N16,N25,3,22/08/2016,0.03
N26,T12,3,22/08/2016,0.03
N20,N15,3,22/08/2017,0.03
