colony,ID,x,y,type
3,N1,-322.4256365,-181.2883282,nest
3,N10,327.0533503,-288.1188994,nest
3,N11,90.72186937,-111.5464674,nest
3,N12,323.4450221,-205.5727094,nest
3,N13,291.4110714,-1539.512799,nest
3,N14,1.589474056,109.9368843,nest
3,N15,602.1469496,937.3731752,nest
3,N16,1154.994716,1195.17028,nest
3,N17,90.72219301,-1538.546467,nest
3,N18,1479.754188,1223.583048,nest
3,N19,9.07E-06,-40,nest
3,N2,-454.7928759,-11.86603349,nest
3,N20,266.9601393,-281.7377486,nest
3,N21,-52.9998324,-835.9940552,nest
3,N22,501.7647746,218.7522338,nest
3,N23,483.8399801,1159.875896,nest
3,N24,323.3921827,1171.106618,nest
3,N25,1203.90362,1329.546316,nest
3,N26,773.6661011,-3155.40667,nest
3,N27,-2953.404528,-4119.621464,nest
3,N28,-551.6222486,-1190.588411,nest
3,N29,1915.3755,-5769.604391,nest
3,N3,-115,-5.22E-05,nest
3,N30,2368.046701,-3494.302678,nest
3,N31,448.7464025,-2262.698885,nest
3,N32,558.8457785,-2353.688372,nest
3,N33,1373.492197,18.11994064,nest
3,N34,-551.6220331,-2140.588411,nest
3,N35,-634.9730393,-2613.296153,nest
3,N36,336.0192623,-1269.326143,nest
3,N37,3418.450367,-3550.669353,nest
3,N38,-267.8721349,-310.3185482,nest
3,N39,1498.224793,-3244.371278,nest
3,N4,-25.59251117,-208.4346981,nest
3,N40,385,-1550,nest
3,N5,0,0,nest
3,N6,-27.95966983,41.451862,nest
3,N7,64.27877062,76.60443621,nest
3,N8,129.1204339,81.13860635,nest
3,N9,112.5608881,-108.1383903,nest
6,N1,1895.857903,389.5837214,nest
6,N10,0,0,nest
6,N11,-81,-3.67E-05,nest
6,N12,-269.6389373,42.70648054,nest
6,N13,-495.08842,58.47133907,nest
6,N14,-1056.545201,177.812378,nest
6,N15,135.4918225,332.6526121,nest
6,N16,146.6991261,34.20943054,nest
6,N17,2.644292806,18.81509276,nest
6,N19,1132.335334,583.8889988,nest
6,N2,1734.463548,423.8891455,nest
6,N20,-56.73112433,19.53406082,nest
6,N21,-223.9616632,63.04330993,nest
6,N22,-70.46736524,209.831239,nest
6,N23,-102.5141337,241.8780147,nest
6,N24,171.5155869,143.9548543,nest
6,N25,-453.739948,120.8526121,nest
6,N26,-1075.108424,271.1041674,nest
6,N27,749.6961579,989.8605462,nest
6,N28,730.7459912,1680.341143,nest
6,N29,1237.048398,1945.124802,nest
6,N3,1409.463548,423.8891455,nest
6,N30,-341.8567963,138.5426993,nest
6,N31,-359.6389373,42.70652136,nest
6,N32,889.1634213,977.6588072,nest
6,N33,871.046106,910.0439946,nest
6,N34,1265.040477,1114.466846,nest
6,N35,1441.817192,1291.243521,nest
6,N36,1522.11469,1463.441987,nest
6,N37,1970.402304,1502.662066,nest
6,N38,-402.4928287,140.9275784,nest
6,N39,831.6856609,1303.630136,nest
6,N4,784.5679441,196.4457817,nest
6,N40,1084.480349,1515.750022,nest
6,N41,-369.2247612,126.2688146,nest
6,N42,-232.4278701,172.4768026,nest
6,N43,-530.2891614,169.8342143,nest
6,N44,-234.9979196,62.70647792,nest
6,N45,584.1085508,1490.192658,nest
6,N46,1450.885562,1161.560196,nest
6,N47,2030.173986,1497.432722,nest
6,N48,2059.884399,1703.642052,nest
6,N5,678.1603873,43.156661,nest
6,N6,222.2298455,35.1979512,nest
6,N7,177.7757468,287.3087068,nest
6,N8,128.3420617,311.4190942,nest
6,N9,372.0242245,390.5924369,nest
7,N1,953.6281529,134.023677,nest
7,N10,210.321334,-1438.032022,nest
7,N11,305.5508099,-1473.666436,nest
7,N12,-831.0058118,-252.6325071,nest
7,N13,-456.2362992,-398.3993513,nest
7,N14,1003.923441,-211.022,nest
7,N15,704.9447094,-406.9999467,nest
7,N16,1744.579883,-1330.590109,nest
7,N17,-480.3783739,-674.3452884,nest
7,N18,276.1059372,-1456.666452,nest
7,N19,39.54930398,-1480.610347,nest
7,N2,848.038862,-121.0220118,nest
7,N20,961.4764662,-1765.703306,nest
7,N21,323.9575378,-1578.056054,nest
7,N22,614.5059576,-2743.381166,nest
7,N23,445.1992263,-3703.568768,nest
7,N24,-22.58442103,-3786.051853,nest
7,N25,1379.476466,-1765.703306,nest
7,N26,1291.089215,-1264.436218,nest
7,N27,1568.781225,-847.5882123,nest
7,N28,-678.5981119,-1578.823424,nest
7,N29,-1201.240053,-1354.193625,nest
7,N3,98.40593182,-226.3760341,nest
7,N30,-1261.086523,-1761.26337,nest
7,N31,-1062.182134,-1782.168969,nest
7,N32,-962.4257258,-1789.14457,nest
7,N33,-1030.487683,-1976.143421,nest
7,N34,-1115.487905,-1828.919231,nest
7,N35,-2319.262954,-2523.919686,nest
7,N36,-2567.84155,-2374.558776,nest
7,N37,-2633.923375,-2135.346888,nest
7,N38,-2828.974503,-2013.465562,nest
7,N39,-496.4466161,-1281.404025,nest
7,N4,-63.27367833,-173.8431524,nest
7,N40,341.0897959,-1635.208038,nest
7,N5,-123.0070651,-118.7866235,nest
7,N6,0,0,nest
7,N7,-766.3640539,-75.03058381,nest
7,N8,280.7499344,-226.9729691,nest
7,N9,231.9170138,-1397.416426,nest
8,N1,583.410426,-202.1200208,nest
8,N10,-342.9229218,206.6182511,nest
8,N11,-454.7793263,496.1852961,nest
8,N12,-1148.748211,391.5916307,nest
8,N13,-1176.81305,328.5569988,nest
8,N14,208.9852455,-614.8668861,nest
8,N15,-360.9773757,182.6591882,nest
8,N16,-1284.377585,-640.4930965,nest
8,N17,574,0,nest
8,N18,-821.899871,89.10344867,nest
8,N19,-470.4773183,-7.00040837,nest
8,N2,309.0933724,100.4305092,nest
8,N20,465.6757859,464.2679295,nest
8,N21,-762.4296596,272.5404245,nest
8,N22,667.4504485,-58.39433923,nest
8,N23,-1884.673318,-1241.624648,nest
8,N24,-356.3954529,475.0060068,nest
8,N25,702.4504577,2.227433743,nest
8,N26,379.0732644,414.2678968,nest
8,N27,-1184.376701,-4539.493096,nest
8,N3,230.1249,130.324,nest
8,N4,108.9294879,-15.30903891,nest
8,N5,153.9000601,-170.9232912,nest
8,N6,-1284.377771,180.5069035,nest
8,N7,-544.6475216,284.469195,nest
8,N8,-1215.273037,438.4090861,nest
8,N9,-314.7975374,183.541068,nest
9,N1,261.3626187,414.8243426,nest
9,N10,603.3264333,260.5814742,nest
9,N11,1010.827027,713.1566236,nest
9,N12,-965.4503933,77.43489076,nest
9,N13,2104.07693,-1026.226717,nest
9,N14,2613.766251,-1008.427976,nest
9,N15,3034.455116,-1314.076269,nest
9,N16,2115.97505,-1870.097287,nest
9,N17,1674.49054,-1980.171934,nest
9,N18,120.0840953,261.6033053,nest
9,N19,4153.54539,-2220.297522,nest
9,N2,164.9444627,299.9176883,nest
9,N20,4321.621001,-2005.170608,nest
9,N21,3715.861363,-2529.026258,nest
9,N22,116.5959937,251.7561804,nest
9,N23,-69.91315572,215.5023918,nest
9,N24,1012.223916,-1076.658882,nest
9,N25,1068.461726,-1320.251387,nest
9,N26,-108.3288446,-19.10134595,nest
9,N27,1460.69162,755.5814094,nest
9,N28,748.4604574,-120.4583698,nest
9,N29,298.1271098,139.5413919,nest
9,N3,138.9636995,284.9176903,nest
9,N30,2118.327421,-1827.022334,nest
9,N31,-246.312268,-1876.802775,nest
9,N32,-292.3516834,-1218.410512,nest
9,N33,1070.936794,-657.1551715,nest
9,N34,2286.143893,2827.864083,nest
9,N35,-1880.699448,1218.236514,nest
9,N36,-2453.486877,-287.4522253,nest
9,N37,-2659.154218,-340.1986881,nest
9,N38,2308.720653,-1826.007318,nest
9,N39,-2414.37821,-534.3743025,nest
9,N4,0,0,nest
9,N40,-29.77638296,-3.656093283,nest
9,N41,-699.6330857,-29.45613273,nest
9,N42,-1878.339615,-1952.893862,nest
9,N5,-292.3519079,-228.410512,nest
9,N6,-1086.867603,-256.1559682,nest
9,N7,-1505.410933,-182.3556931,nest
9,N8,685.4606009,-357.7492476,nest
9,N9,1595.741016,-1204.228268,nest
10,N1,-2062.376303,-404.2141817,nest
10,N10,820.1877812,-648.3963898,nest
10,N11,683.379828,-1024.273476,nest
10,N12,1249.746782,-1228.206699,nest
10,N13,1278.855657,-1235.464341,nest
10,N14,1108.970906,-1297.013617,nest
10,N15,249.4818354,-127.117323,nest
10,N16,-531.9104626,261.0778881,nest
10,N17,1144.442259,-1266.178846,nest
10,N18,986.5338344,315.4967491,nest
10,N19,930.8613208,-131.7848265,nest
10,N2,-1975.875417,-350.1623845,nest
10,N20,-172.0730764,245.7455114,nest
10,N21,702.7442128,-654.7805524,nest
10,N22,787.5320582,-377.4521888,nest
10,N23,-925.8738631,-423.4060189,nest
10,N24,-1216.970665,-667.6654133,nest
10,N25,-1345.841373,-612.9631212,nest
10,N26,0,676,nest
10,N27,468.335968,-41.47804867,nest
10,N28,899.1088422,-179.7575975,nest
10,N29,1180.481966,310.8484715,nest
10,N3,-1049.618896,24.06997113,nest
10,N30,-901.8478447,-172.3714171,nest
10,N31,-1049.764432,144.836217,nest
10,N32,-567.0131804,-231.4116372,nest
10,N33,283.0430511,-550.6253815,nest
10,N34,752.5539478,-650.4227659,nest
10,N35,129.241198,-594.727422,nest
10,N4,-929.4175946,167.3202668,nest
10,N5,-872.1187098,-283.3689399,nest
10,N6,0,0,nest
10,N7,294.4484959,170.0002449,nest
10,N8,907.8799856,-151.0684525,nest
10,N9,1095.238094,-90.19202808,nest
12,N1,1309.027753,343.6379552,nest
12,N10,615.2493344,-63.85782292,nest
12,N11,1358.379369,-349.1186714,nest
12,N12,1608.227076,-357.8435443,nest
12,N13,-29.88584216,2.61465835,nest
12,N14,-448.001839,157.6738864,nest
12,N15,-310.0986217,112.866491,nest
12,N16,-661.4141115,154.5227337,nest
12,N17,-1362.605575,323.7031873,nest
12,N18,-1372.906331,306.5598381,nest
12,N19,-1447.68338,334.1494072,nest
12,N2,202.2497805,195.6780969,nest
12,N20,-2667.217539,584.8155829,nest
12,N21,-2217.377386,1077.433429,nest
12,N22,-2281.427037,1111.627069,nest
12,N23,-2381.000805,1279.491284,nest
12,N24,1410.636087,501.4039125,nest
12,N25,1356.365712,633.4968827,nest
12,N26,1203.826474,464.9377066,nest
12,N3,179.2672664,103.4999864,nest
12,N4,0,0,nest
12,N5,-47.57375394,-680.3386935,nest
12,N6,-640.6867444,136.1818475,nest
12,N7,1553.564654,291.6600399,nest
12,N8,-616.2894436,287.3800996,nest
12,N9,263.5321623,174.206615,nest
2a,N1,-523.7211434,36.62190588,nest
2a,N2,0,0,nest
2a,N3,-13.70226344,446.113915,nest
2a,N4,232.4996956,402.7019885,nest
2a,N5,-251.1675742,472.376809,nest
2a,N6,52.29357368,-597.7168077,nest
2a,N7,-882.3544756,1591.807331,nest
2b,N1,-502.5029215,67.44334123,nest
2b,N10,-955.3288889,-326.191824,nest
2b,N11,-327.7552392,194.4049399,nest
2b,N12,-165.708636,7.991693566,nest
2b,N13,1108.476824,593.7168283,nest
2b,N14,-597.4194222,742.8061014,nest
2b,N15,1606.053211,775.0454909,nest
2b,N16,-543.8933335,-538.7513889,nest
2b,N17,1238.93141,-278.5758202,nest
2b,N18,-576.1519537,-498.490668,nest
2b,N19,-1290.289806,-1725.013711,nest
2b,N2,-176.9306861,397.3921644,nest
2b,N20,1091.210258,-304.6231101,nest
2b,N21,-1519.72953,-1741.057802,nest
2b,N3,-24.871121,-16.77579625,nest
2b,N4,0,0,nest
2b,N5,647.5667202,426.184993,nest
2b,N6,1224.339362,759.1854726,nest
2b,N7,-268.8276279,-738.5984745,nest
2b,N8,-513.0870883,-447.5017276,nest
2b,N9,1267.419139,865.8116085,nest
