colony,ID,date,nest.size
3,N1,26/07/2012,14796
3,N10,26/07/2012,41138
3,N15,26/07/2012,57596
3,N16,26/07/2012,68502
3,N2,26/07/2012,98410
3,N3,26/07/2012,1827
3,N4,26/07/2012,6967
3,N5,26/07/2012,27142
3,N6,26/07/2012,114179
3,N7,26/07/2012,15072
3,N8,26/07/2012,44791
3,N9,26/07/2012,20325
3,N1,31/05/2013,5402
3,N11,31/05/2013,15072
3,N12,31/05/2013,2391
3,N13,31/05/2013,24702
3,N14,31/05/2013,3211
3,N15,31/05/2013,51979
3,N16,31/05/2013,27620
3,N2,31/05/2013,21479
3,N3,31/05/2013,763
3,N5,31/05/2013,38384
3,N6,31/05/2013,41343
3,N7,31/05/2013,42254
3,N11,28/08/2013,34756
3,N12,28/08/2013,3984
3,N15,28/08/2013,90551
3,N16,28/08/2013,118171
3,N2,28/08/2013,38352
3,N5,28/08/2013,69855
3,N6,28/08/2013,39464
3,N7,28/08/2013,56595
3,N11,26/05/2014,21334
3,N15,26/05/2014,59990
3,N16,26/05/2014,30286
3,N17,26/05/2014,8931
3,N18,26/05/2014,71110
3,N2,26/05/2014,15389
3,N5,26/05/2014,5869
3,N6,26/05/2014,31734
3,N7,26/05/2014,51374
3,N11,25/08/2014,45318
3,N15,25/08/2014,134005
3,N16,25/08/2014,166815
3,N17,25/08/2014,63484
3,N18,25/08/2014,65064
3,N19,25/08/2014,156
3,N2,25/08/2014,58506
3,N20,25/08/2014,737
3,N21,25/08/2014,13915
3,N22,25/08/2014,5869
3,N23,25/08/2014,6199
3,N24,25/08/2014,338
3,N25,25/08/2014,1474
3,N5,25/08/2014,24890
3,N6,25/08/2014,39697
3,N7,25/08/2014,28490
3,N11,25/08/2015,69103
3,N15,25/08/2015,238420
3,N16,25/08/2015,132152
3,N2,25/08/2015,66331
3,N20,25/08/2015,32690
3,N25,25/08/2015,1560
3,N26,25/08/2015,67778
3,N27,25/08/2015,36758
3,N5,25/08/2015,44783
3,N6,25/08/2015,49695
3,N7,25/08/2015,18299
3,N11,22/08/2016,129426
3,N15,22/08/2016,337442
3,N16,22/08/2016,92975
3,N2,22/08/2016,105683
3,N20,22/08/2016,63102
3,N25,22/08/2016,6982
3,N26,22/08/2016,247664
3,N28,22/08/2016,82948
3,N5,22/08/2016,101511
3,N6,22/08/2016,38938
3,N7,22/08/2016,12207
3,N28,01/06/2017,20746
3,N34,01/06/2017,294
3,N35,01/06/2017,7929
3,N26,01/06/2017,103481
3,N29,01/06/2017,45982
3,N30,01/06/2017,4828
3,N32,01/06/2017,1738
3,N31,01/06/2017,1066
3,N20,01/06/2017,41159
3,N11,01/06/2017,81499
3,N7,01/06/2017,11854
3,N5,01/06/2017,93125
3,N6,01/06/2017,78759
3,N2,01/06/2017,25458
3,N15,01/06/2017,100721
3,N16,01/06/2017,92733
3,N25,01/06/2017,4725
3,N33,01/06/2017,28871
3,N30,22/08/2017,5434
3,N29,22/08/2017,11814
3,N2,22/08/2017,3225
3,N6,22/08/2017,76065
3,N5,22/08/2017,125034
3,N33,22/08/2017,12084
3,N15,22/08/2017,136574
3,N16,22/08/2017,52257
3,N25,22/08/2017,2318
3,N7,22/08/2017,4197
3,N11,22/08/2017,62317
3,N20,22/08/2017,37671
3,N36,22/08/2017,1047
3,N28,22/08/2017,23855
3,N34,22/08/2017,275
3,N26,22/08/2017,229236
3,N29,12/06/2018,2997.823907
3,N30,12/06/2018,15360.55393
3,N26,12/06/2018,182816.8644
3,N28,12/06/2018,15285.23406
3,N32,12/06/2018,4409.432408
3,N2,12/06/2018,8094.55706
3,N6,12/06/2018,112963.1164
3,N5,12/06/2018,40190.31357
3,N7,12/06/2018,61562.2291
3,N20,12/06/2018,25898.02154
3,N11,12/06/2018,46224.6254
3,N15,12/06/2018,129718.4634
3,N16,12/06/2018,61127.32742
3,N25,12/06/2018,1688.654608
3,N33,12/06/2018,5866.516334
3,N37,12/06/2018,10862.36086
3,N34,12/06/2018,1500.16821
6,N1,26/07/2012,6750
6,N10,26/07/2012,48228
6,N11,26/07/2012,19163
6,N12,26/07/2012,37349
6,N13,26/07/2012,119
6,N14,26/07/2012,47703
6,N2,26/07/2012,6750
6,N3,26/07/2012,10117
6,N4,26/07/2012,19247
6,N5,26/07/2012,21237
6,N6,26/07/2012,9711
6,N7,26/07/2012,110039
6,N8,26/07/2012,5019
6,N9,26/07/2012,14055
6,N1,31/05/2013,169
6,N10,31/05/2013,10303
6,N11,31/05/2013,6465
6,N12,31/05/2013,15078
6,N14,31/05/2013,8540
6,N2,31/05/2013,4500
6,N3,31/05/2013,3617
6,N4,31/05/2013,2115
6,N5,31/05/2013,9969
6,N6,31/05/2013,791
6,N7,31/05/2013,75395
6,N9,31/05/2013,10862
6,N1,28/08/2013,7869
6,N10,28/08/2013,65653
6,N12,28/08/2013,42327
6,N14,28/08/2013,42327
6,N15,28/08/2013,37054
6,N2,28/08/2013,71700
6,N3,28/08/2013,21821
6,N4,28/08/2013,47309
6,N5,28/08/2013,54942
6,N6,28/08/2013,29106
6,N7,28/08/2013,64475
6,N9,28/08/2013,26396
6,N1,26/05/2014,1628
6,N10,26/05/2014,3475
6,N12,26/05/2014,75136
6,N14,26/05/2014,4814
6,N15,26/05/2014,13812
6,N16,26/05/2014,15286
6,N2,26/05/2014,5247
6,N3,26/05/2014,2271
6,N4,26/05/2014,11553
6,N5,26/05/2014,17790
6,N6,26/05/2014,36971
6,N7,26/05/2014,60651
6,N9,26/05/2014,14570
6,N1,25/08/2014,1311
6,N10,25/08/2014,41934
6,N12,25/08/2014,44233
6,N15,25/08/2014,24919
6,N17,25/08/2014,1066
6,N3,25/08/2014,1639
6,N4,25/08/2014,10080
6,N5,25/08/2014,9003
6,N6,25/08/2014,11681
6,N7,25/08/2014,4478
6,N9,25/08/2014,24513
6,N1,25/08/2015,8140
6,N10,25/08/2015,53487
6,N12,25/08/2015,18192
6,N15,25/08/2015,16136
6,N17,25/08/2015,3875
6,N19,25/08/2015,638
6,N2,25/08/2015,36022
6,N20,25/08/2015,3063
6,N21,25/08/2015,401
6,N22,25/08/2015,1276
6,N23,25/08/2015,275
6,N24,25/08/2015,1898
6,N25,25/08/2015,11511
6,N26,25/08/2015,31342
6,N3,25/08/2015,3063
6,N4,25/08/2015,31160
6,N5,25/08/2015,49309
6,N6,25/08/2015,12207
6,N7,25/08/2015,138538
6,N9,25/08/2015,7040
6,N12,22/08/2016,188236
6,N15,22/08/2016,36565
6,N19,22/08/2016,851
6,N2,22/08/2016,27333
6,N23,22/08/2016,285
6,N24,22/08/2016,433
6,N25,22/08/2016,46148
6,N26,22/08/2016,24780
6,N27,22/08/2016,218
6,N28,22/08/2016,2097
6,N29,22/08/2016,7247
6,N3,22/08/2016,10136
6,N30,22/08/2016,5138
6,N31,22/08/2016,1584
6,N32,22/08/2016,49426
6,N4,22/08/2016,20721
6,N5,22/08/2016,22499
6,N6,22/08/2016,44816
6,N7,22/08/2016,169419
6,N9,22/08/2016,7616
6,N26,01/06/2017,18831
6,N25,01/06/2017,56741
6,N38,01/06/2017,5594
6,N30,01/06/2017,619
6,N12,01/06/2017,183606
6,N15,01/06/2017,35059
6,N7,01/06/2017,65447
6,N6,01/06/2017,27750
6,N24,01/06/2017,1224
6,N5,01/06/2017,6492
6,N4,01/06/2017,15389
6,N19,01/06/2017,1128
6,N3,01/06/2017,16916
6,N32,01/06/2017,65377
6,N27,01/06/2017,140
6,N33,01/06/2017,1145
6,N39,01/06/2017,808
6,N40,01/06/2017,3667
6,N28,01/06/2017,3414
6,N34,01/06/2017,654
6,N35,01/06/2017,15516
6,N29,01/06/2017,2874
6,N36,01/06/2017,642
6,N37,01/06/2017,1540
6,N9,01/06/2017,4964
6,N26,22/08/2017,14429
6,N43,22/08/2017,598
6,N25,22/08/2017,93384
6,N38,22/08/2017,7339
6,N41,22/08/2017,657
6,N30,22/08/2017,9119
6,N42,22/08/2017,2097
6,N12,22/08/2017,73670
6,N44,22/08/2017,497
6,N24,22/08/2017,1091
6,N6,22/08/2017,17909
6,N7,22/08/2017,94314
6,N15,22/08/2017,15643
6,N9,22/08/2017,10583
6,N5,22/08/2017,5302
6,N4,22/08/2017,9037
6,N19,22/08/2017,3527
6,N3,22/08/2017,16539
6,N37,22/08/2017,2740
6,N36,22/08/2017,98
6,N35,22/08/2017,2599
6,N34,22/08/2017,210
6,N32,22/08/2017,46084
6,N27,22/08/2017,120
6,N33,22/08/2017,1191
6,N39,22/08/2017,1441
6,N40,22/08/2017,5320
6,N29,22/08/2017,319
6,N18,12/06/2018,62562.22658
6,N26,12/06/2018,12354.33936
6,N25,12/06/2018,173002.7356
6,N38,12/06/2018,10657.33946
6,N30,12/06/2018,5361.240557
6,N12,12/06/2018,48308.61773
6,N6,12/06/2018,22149.58128
6,N7,12/06/2018,62194.52628
6,N15,12/06/2018,47440.16747
6,N9,12/06/2018,786.5374388
6,N5,12/06/2018,6522.264719
6,N46,12/06/2018,2337.770013
6,N35,12/06/2018,344.0372745
6,N36,12/06/2018,1358.425104
6,N37,12/06/2018,6694.551213
6,N29,12/06/2018,567.2079301
6,N45,12/06/2018,369.3700055
6,N47,12/06/2018,528.7338046
6,N48,12/06/2018,331.3908875
6,N39,12/06/2018,715.3557695
7,N1,26/07/2012,35551
7,N2,26/07/2012,13633
7,N3,26/07/2012,7532
7,N4,26/07/2012,34221
7,N5,26/07/2012,45083
7,N6,26/07/2012,28213
7,N7,26/07/2012,70952
7,N1,31/05/2013,18391
7,N2,31/05/2013,285
7,N3,31/05/2013,1080
7,N4,31/05/2013,27103
7,N5,31/05/2013,21760
7,N6,31/05/2013,8816
7,N7,31/05/2013,114238
7,N2,28/08/2013,17724
7,N5,28/08/2013,38296
7,N6,28/08/2013,14721
7,N7,28/08/2013,101914
7,N2,26/05/2014,9857
7,N5,26/05/2014,4591
7,N6,26/05/2014,8858
7,N7,26/05/2014,15012
7,N8,26/05/2014,1619
7,N10,25/08/2014,2659
7,N11,25/08/2014,5115
7,N12,25/08/2014,2579
7,N2,25/08/2014,17044
7,N5,25/08/2014,19144
7,N6,25/08/2014,27752
7,N7,25/08/2014,8401
7,N9,25/08/2014,20453
7,N13,25/08/2015,6895
7,N14,25/08/2015,1250
7,N15,25/08/2015,1679
7,N2,25/08/2015,33383
7,N5,25/08/2015,13715
7,N6,25/08/2015,49660
7,N10,22/08/2016,4443
7,N11,22/08/2016,59280
7,N13,22/08/2016,7523
7,N15,22/08/2016,18231
7,N16,22/08/2016,4355
7,N17,22/08/2016,819
7,N18,22/08/2016,2606
7,N19,22/08/2016,735
7,N20,22/08/2016,8355
7,N21,22/08/2016,1303
7,N22,22/08/2016,5491
7,N23,22/08/2016,2017
7,N24,22/08/2016,1573
7,N25,22/08/2016,6419
7,N26,22/08/2016,1372
7,N27,22/08/2016,17625
7,N5,22/08/2016,111205
7,N6,22/08/2016,11058
7,N9,22/08/2016,23922
7,N11,01/06/2017,465
7,N18,01/06/2017,677
7,N10,01/06/2017,1342
7,N20,01/06/2017,1045
7,N25,01/06/2017,2874
7,N16,01/06/2017,442
7,N27,01/06/2017,8910
7,N15,01/06/2017,8008
7,N6,01/06/2017,125
7,N5,01/06/2017,478
7,N13,01/06/2017,9133
7,N29,01/06/2017,1021
7,N31,01/06/2017,122303
7,N30,01/06/2017,39718
7,N32,01/06/2017,26747
7,N33,01/06/2017,49148
7,N34,01/06/2017,12263
7,N35,01/06/2017,21607
7,N36,01/06/2017,19627
7,N37,01/06/2017,49017
7,N38,01/06/2017,2271
7,N28,01/06/2017,53438
7,N11,22/08/2017,294
7,N25,22/08/2017,228
7,N16,22/08/2017,693
7,N27,22/08/2017,19001
7,N15,22/08/2017,1066
7,N6,22/08/2017,160
7,N13,22/08/2017,5466
7,N32,22/08/2017,6781
7,N37,22/08/2017,73178
7,N30,22/08/2017,16711.01461
7,N18,12/06/2018,10719.06695
7,N10,12/06/2018,711.0481141
7,N40,12/06/2018,1627.960404
7,N28,12/06/2018,40887.54835
7,N27,12/06/2018,24672.92431
7,N15,12/06/2018,2751.153506
7,N6,12/06/2018,2982.108655
7,N37,12/06/2018,109545.5952
7,N9,12/06/2018,1144.988419
7,N39,12/06/2018,1627.960404
7,N32,12/06/2018,3164.100166
8,N1,26/07/2012,7413
8,N2,26/07/2012,41890
8,N3,26/07/2012,54744
8,N4,26/07/2012,582
8,N5,26/07/2012,210
8,N6,26/07/2012,247416
8,N3,31/05/2013,19262
8,N6,31/05/2013,91502
8,N7,31/05/2013,11983
8,N1,28/08/2013,6750
8,N3,28/08/2013,23471
8,N6,28/08/2013,227526
8,N7,28/08/2013,22821
8,N1,26/05/2014,1342
8,N3,26/05/2014,21479
8,N6,26/05/2014,93466
8,N7,26/05/2014,13275
8,N8,26/05/2014,819
8,N9,26/05/2014,14784
8,N3,25/08/2014,668
8,N6,25/08/2014,384166
8,N7,25/08/2014,23626
8,N9,25/08/2014,2217
8,N10,25/08/2015,374
8,N11,25/08/2015,181
8,N12,25/08/2015,9077
8,N13,25/08/2015,14232
8,N14,25/08/2015,177
8,N15,25/08/2015,1086
8,N3,25/08/2015,114467
8,N6,25/08/2015,59916
8,N7,25/08/2015,59402
8,N9,25/08/2015,162257
8,N12,22/08/2016,15418
8,N13,22/08/2016,9766
8,N15,22/08/2016,702
8,N16,22/08/2016,737
8,N17,22/08/2016,16374
8,N18,22/08/2016,10874
8,N19,22/08/2016,68198
8,N3,22/08/2016,186824
8,N6,22/08/2016,184460
8,N7,22/08/2016,48260
8,N9,22/08/2016,133055
8,N6,01/06/2017,609487
8,N12,01/06/2017,11983
8,N21,01/06/2017,427
8,N7,01/06/2017,14928
8,N9,01/06/2017,29806
8,N3,01/06/2017,79095
8,N20,01/06/2017,222
8,N22,01/06/2017,1893
8,N6,22/08/2017,417452
8,N12,22/08/2017,9133
8,N9,22/08/2017,11002
8,N3,22/08/2017,49100
8,N22,22/08/2017,11310
8,N6,12/06/2018,644668.4626
8,N12,12/06/2018,22570.77548
8,N24,12/06/2018,6694.551213
8,N20,12/06/2018,2695.179232
8,N22,12/06/2018,41497.91136
