LowRisk1,Low1.1,,,,,,,,,,Low1.2,,,,,,,,,,Low1.3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk9,Low9.1,,,,,,,,,,Low9.2,,,,,,,,,,Low9.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,2,6,6,3,X,3,8,X,,1,6,1,5,3,2,2,X,2,,1,2,X,1,7,3,5,3,7
,2,2,6,6,3,X,3,2,X,,2,8,1,8,3,2,3,X,4,,2,X,X,6,7,2,1,3,2
,3,4,6,6,3,X,3,5,X,,3,5,1,2,3,2,X,X,X,,3,X,X,2,7,X,4,5,5
,4,5,6,6,6,X,3,4,X,,4,2,3,6,3,2,2,6,4,,4,X,X,4,1,X,5,5,4
,5,5,6,6,6,X,3,6,X,,5,2,1,7,3,7,3,X,7,,5,X,X,5,X,X,1,2,X
,6,8,6,6,8,X,3,3,X,,6,2,1,4,3,3,4,5,1,,6,8,X,5,X,X,4,3,6
,7,4,6,6,3,X,3,5,X,,7,4,3,4,3,3,1,5,2,,7,8,X,5,X,X,5,3,X
,8,5,6,6,2,X,3,1,X,,8,7,1,6,3,4,7,6,3,,8,X,X,1,X,X,2,3,X
,9,4,6,6,X,X,3,8,X,,9,3,6,7,2,1,4,2,5,,9,8,X,1,X,X,1,3,X
,10,4,X,6,X,X,3,2,X,,10,2,1,8,2,1,7,1,5,,10,8,X,1,X,X,1,X,3
,11,2,X,2,X,X,3,2,X,,11,6,6,6,2,3,3,5,3,,11,8,7,1,X,X,2,3,6
,12,4,X,6,X,X,3,2,X,,12,8,6,6,2,X,4,5,2,,12,8,7,5,X,X,2,3,6
,13,3,X,6,X,X,3,2,X,,13,4,3,1,X,6,5,5,3,,13,8,7,5,X,X,2,3,6
,14,3,X,6,8,X,3,2,X,,14,2,7,7,X,2,5,1,2,,14,8,7,6,X,X,2,3,X
,15,2,3,6,5,X,3,2,X,,15,2,1,6,X,8,1,X,2,,15,8,X,6,X,X,2,3,6
,16,6,3,2,7,X,3,2,X,,16,4,1,7,8,6,X,5,5,,16,8,7,8,X,X,2,3,7
,17,7,8,4,6,X,3,2,X,,17,8,1,7,3,4,2,X,5,,17,X,7,X,X,4,3,3,4
,18,2,6,X,8,X,3,2,X,,18,2,1,6,6,7,7,8,6,,18,8,7,5,X,7,8,2,5
,19,7,3,2,8,X,3,2,X,,19,2,3,7,6,3,7,5,X,,19,8,7,X,X,2,X,6,6
,20,3,8,2,1,X,3,2,X,,20,8,3,2,2,3,1,5,4,,20,4,3,X,X,4,1,3,1
,21,2,7,X,6,X,3,2,X,,21,2,1,7,3,1,1,X,7,,21,4,3,1,X,3,2,1,2
,22,2,5,X,6,X,3,2,X,,22,3,3,1,3,3,X,5,4,,22,8,3,1,X,4,1,X,2
,23,6,7,X,5,X,3,2,X,,23,3,3,7,1,7,7,3,2,,23,8,8,X,X,X,1,8,3
,24,6,5,X,8,X,3,2,X,,24,8,3,6,1,1,1,X,6,,24,8,5,1,X,6,2,3,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk10,Low10.1,,,,,,,,,,Low10.2,,,,,,,,,,Low10.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,6,7,X,X,7,2,8,3,,1,2,1,5,2,6,X,8,3,,1,6,1,X,2,7,X,8,X
,2,6,3,X,8,7,2,4,3,,2,2,1,4,8,6,X,2,3,,2,6,8,X,2,7,1,3,X
,3,6,3,X,3,4,2,X,1,,3,4,1,4,8,6,X,8,3,,3,6,1,X,2,7,1,4,X
,4,6,5,X,8,4,2,2,4,,4,2,1,4,8,6,X,1,3,,4,6,8,X,2,7,1,4,X
,5,6,5,X,8,4,2,2,7,,5,X,1,4,8,6,8,1,3,,5,6,4,X,2,7,1,1,X
,6,6,4,X,7,4,2,5,5,,6,7,1,4,3,6,X,8,3,,6,6,4,X,2,7,X,1,X
,7,6,1,X,8,4,2,4,2,,7,7,7,6,8,6,X,5,3,,7,6,8,X,2,7,X,2,X
,8,6,4,X,7,4,2,5,7,,8,4,1,7,2,6,1,1,3,,8,6,5,X,2,7,1,2,X
,9,6,4,X,8,4,2,4,5,,9,5,7,X,2,2,3,2,3,,9,6,4,X,2,7,1,X,7
,10,6,8,X,8,4,2,8,1,,10,3,7,X,7,6,X,2,3,,10,4,8,X,2,7,2,X,7
,11,6,4,7,7,4,2,8,6,,11,2,7,X,2,X,X,1,3,,11,4,5,5,2,7,7,3,7
,12,6,4,8,3,4,2,8,3,,12,2,7,X,8,6,X,4,3,,12,4,5,5,2,7,2,3,6
,13,6,1,8,7,6,1,8,3,,13,4,7,X,1,4,X,1,4,,13,6,4,5,2,7,1,3,4
,14,6,7,8,8,6,X,8,3,,14,X,7,X,1,4,X,4,4,,14,6,6,5,2,7,7,2,2
,15,6,4,8,7,6,X,8,1,,15,4,7,8,8,4,X,3,4,,15,6,6,5,6,7,8,3,1
,16,6,8,8,8,X,X,2,3,,16,8,7,6,8,4,X,3,4,,16,6,1,5,6,7,2,2,2
,17,6,7,8,3,3,X,2,4,,17,8,7,5,8,7,5,2,4,,17,6,8,5,6,7,2,2,1
,18,6,1,8,3,1,X,2,6,,18,4,7,4,8,7,1,X,4,,18,6,3,5,6,7,1,1,1
,19,6,5,8,1,1,X,2,2,,19,8,7,X,8,7,7,1,7,,19,6,1,5,6,7,1,1,1
,20,6,1,8,8,4,X,2,3,,20,8,7,5,8,7,X,5,4,,20,6,3,5,6,7,7,1,1
,21,6,4,8,1,3,X,2,4,,21,4,7,5,8,7,X,8,4,,21,6,1,5,6,7,X,2,2
,22,6,1,8,8,3,X,1,5,,22,4,7,X,8,X,X,2,1,,22,6,5,5,6,7,8,8,5
,23,6,5,8,3,X,X,1,1,,23,8,7,1,3,X,X,6,4,,23,6,7,2,6,7,2,1,1
,24,6,4,8,1,8,2,1,7,,24,2,7,4,5,X,X,1,4,,24,6,3,7,5,7,8,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk11,Low11.1,,,,,,,,,,Low11.2,,,,,,,,,,Low11.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,2,8,4,8,6,X,8,1,,1,8,8,1,5,X,7,1,1,,1,2,X,4,3,6,5,8,1
,2,X,8,4,7,6,X,8,1,,2,8,8,1,X,4,7,5,1,,2,2,X,8,1,2,5,8,1
,3,X,8,4,3,6,4,8,1,,3,3,8,1,5,6,7,5,1,,3,2,X,8,5,7,5,8,1
,4,5,3,4,3,X,5,4,1,,4,3,8,1,5,6,5,2,1,,4,2,X,8,6,7,5,8,1
,5,X,3,2,1,6,X,1,1,,5,3,8,1,X,6,5,5,1,,5,2,X,4,X,2,5,8,1
,6,X,3,2,1,7,5,8,1,,6,3,8,1,X,X,5,2,1,,6,2,X,1,X,X,5,8,1
,7,X,1,2,1,X,5,4,1,,7,3,8,X,7,6,5,4,1,,7,2,X,7,7,X,5,8,4
,8,X,1,2,6,7,5,4,1,,8,3,8,5,7,6,5,8,1,,8,2,X,1,X,6,5,8,4
,9,5,1,2,6,7,5,3,1,,9,3,8,4,7,6,5,2,1,,9,2,5,1,X,7,5,8,4
,10,6,1,2,7,7,5,3,1,,10,3,8,6,X,6,5,2,1,,10,2,6,1,8,6,5,8,2
,11,5,1,4,X,X,5,3,1,,11,3,8,7,5,6,5,2,1,,11,2,7,1,X,6,5,8,1
,12,5,8,1,2,X,5,3,1,,12,3,8,4,7,6,5,3,1,,12,2,5,1,5,7,5,4,6
,13,7,8,1,5,6,7,4,1,,13,3,8,5,7,6,5,2,1,,13,2,5,1,7,4,5,2,2
,14,8,8,1,2,6,7,2,1,,14,3,8,4,7,6,X,2,1,,14,2,X,1,7,2,5,2,3
,15,8,7,1,6,6,7,2,1,,15,3,8,5,7,6,5,8,1,,15,2,X,1,3,6,5,2,1
,16,4,3,1,5,7,5,2,1,,16,3,8,5,6,X,5,1,1,,16,2,X,1,3,6,5,2,1
,17,4,3,1,7,6,5,3,1,,17,3,1,4,7,6,5,5,1,,17,2,7,7,7,6,5,8,1
,18,2,3,1,7,7,5,3,1,,18,3,1,5,7,6,5,6,1,,18,2,5,4,3,6,5,8,1
,19,8,3,1,7,7,4,3,1,,19,3,1,4,5,6,7,5,1,,19,2,7,1,3,6,5,8,1
,20,8,3,4,7,X,7,3,1,,20,3,1,5,X,6,5,5,1,,20,2,6,1,3,6,5,8,4
,21,8,7,4,7,X,7,3,1,,21,3,8,4,7,6,7,5,1,,21,2,5,7,3,6,5,8,7
,22,8,6,8,7,6,5,3,1,,22,3,4,7,X,X,7,4,1,,22,2,7,7,3,6,5,8,7
,23,8,6,4,6,7,5,3,1,,23,3,4,7,6,6,5,4,1,,23,2,X,1,3,6,5,8,7
,24,3,5,4,2,7,7,3,1,,24,3,4,6,7,X,5,4,1,,24,2,X,1,3,6,5,8,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk12,Low12.1,,,,,,,,,,Low12.2,,,,,,,,,,Low12.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,7,8,6,X,7,8,3,3,,1,5,8,7,5,7,X,1,6,,1,5,6,1,X,7,3,4,4
,2,2,5,6,X,6,8,1,3,,2,7,3,1,5,7,X,3,6,,2,8,6,7,5,2,5,X,4
,3,X,8,6,X,3,8,2,3,,3,3,3,7,5,7,X,X,6,,3,8,6,7,5,7,1,1,4
,4,7,1,6,X,6,8,2,3,,4,7,7,X,5,1,X,X,6,,4,7,6,1,1,7,1,1,4
,5,5,8,6,X,6,8,1,3,,5,3,3,5,5,8,7,1,6,,5,4,6,7,3,3,7,1,X
,6,8,3,6,X,6,8,1,3,,6,3,3,1,5,4,3,6,6,,6,3,6,1,X,6,7,1,4
,7,5,5,6,X,3,8,2,3,,7,7,X,8,5,1,X,1,6,,7,3,6,X,3,2,7,2,4
,8,6,3,6,X,6,8,1,3,,8,7,X,1,5,1,1,1,6,,8,7,6,X,X,2,7,2,4
,9,3,3,6,X,6,8,1,3,,9,5,X,1,5,X,7,1,6,,9,7,6,1,1,2,7,1,3
,10,8,1,8,7,6,8,1,3,,10,3,X,7,5,7,X,1,6,,10,7,6,X,3,1,8,1,4
,11,8,7,5,7,6,3,1,3,,11,4,5,2,5,1,7,1,6,,11,3,6,1,3,2,5,1,4
,12,3,4,8,7,6,8,1,3,,12,6,4,2,5,6,X,4,6,,12,6,6,1,3,8,1,1,4
,13,8,4,8,7,2,1,5,3,,13,7,4,1,5,7,X,4,6,,13,7,8,1,3,1,2,5,4
,14,3,5,8,7,3,1,3,3,,14,7,4,1,5,6,7,4,6,,14,6,5,1,3,8,8,1,4
,15,6,6,8,7,2,2,2,3,,15,8,4,4,5,6,7,4,6,,15,7,6,1,3,8,8,1,4
,16,3,8,8,7,2,X,2,7,,16,6,4,4,5,3,X,4,6,,16,7,6,1,3,8,7,1,4
,17,3,5,8,1,1,X,5,3,,17,7,4,1,5,3,X,1,6,,17,7,6,1,3,8,X,3,4
,18,3,3,8,X,3,X,6,5,,18,7,4,4,5,X,X,1,6,,18,7,6,1,1,8,5,3,4
,19,6,3,8,X,2,X,1,5,,19,2,4,1,X,X,X,1,6,,19,7,6,X,3,2,5,4,4
,20,3,X,8,X,1,X,5,2,,20,7,4,5,7,X,X,2,6,,20,X,6,X,3,2,4,4,X
,21,8,7,8,X,2,X,3,1,,21,7,4,6,7,X,X,3,6,,21,7,6,1,3,2,2,8,X
,22,8,7,8,X,6,X,1,2,,22,7,5,5,X,X,X,8,6,,22,7,6,1,X,2,X,5,X
,23,8,7,8,X,6,X,3,7,,23,7,X,8,X,X,X,8,6,,23,7,6,7,X,2,5,1,7
,24,7,6,8,X,6,X,1,5,,24,6,X,X,X,3,7,8,6,,24,7,6,7,X,2,8,8,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk13,Low13.1,,,,,,,,,,Low13.2,,,,,,,,,,Low13.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,X,8,8,X,3,X,X,X,,1,X,8,X,6,8,3,5,2,,1,6,3,2,X,X,1,2,3
,2,X,7,8,3,X,X,X,X,,2,8,5,6,6,2,5,2,4,,2,7,4,5,X,4,2,6,3
,3,4,6,5,6,X,5,X,6,,3,X,5,X,8,X,4,3,4,,3,7,6,X,X,4,2,1,3
,4,2,6,7,X,1,7,X,X,,4,X,4,X,3,X,7,3,4,,4,4,4,2,7,2,4,1,2
,5,2,6,8,7,4,1,X,5,,5,2,7,X,6,X,3,3,X,,5,X,3,2,8,3,7,3,2
,6,2,4,4,6,X,3,X,5,,6,7,3,X,8,7,7,3,4,,6,3,3,X,7,8,7,8,2
,7,X,4,5,7,X,2,X,7,,7,5,3,8,8,2,3,2,1,,7,3,4,2,7,6,3,4,3
,8,X,8,5,5,7,2,8,5,,8,7,1,5,2,6,5,1,X,,8,7,1,X,7,7,5,8,3
,9,2,4,8,3,8,5,1,X,,9,4,6,7,7,7,7,3,X,,9,7,3,6,X,3,8,3,3
,10,X,4,4,6,3,7,3,X,,10,5,3,4,8,X,5,1,2,,10,7,X,8,6,6,7,3,3
,11,2,6,4,2,7,3,2,6,,11,2,5,5,8,4,4,4,X,,11,X,7,X,7,8,2,1,2
,12,4,7,X,X,3,2,5,4,,12,7,6,7,7,2,4,4,X,,12,7,8,2,X,6,3,2,2
,13,3,8,X,X,6,3,8,X,,13,X,7,7,6,X,4,X,3,,13,3,6,2,7,2,7,3,2
,14,2,4,8,3,8,8,4,3,,14,2,X,6,X,X,3,4,X,,14,7,8,5,2,8,2,3,2
,15,5,3,X,5,6,2,2,X,,15,6,7,4,2,4,4,2,4,,15,X,7,8,3,7,2,3,2
,16,X,6,4,7,7,2,2,X,,16,6,7,7,X,2,8,X,X,,16,8,7,5,8,4,2,5,3
,17,X,7,4,3,3,2,5,2,,17,2,3,8,6,7,2,4,X,,17,3,5,5,6,3,8,3,1
,18,6,4,X,6,7,3,5,2,,18,4,3,4,5,6,8,4,X,,18,X,7,5,6,3,3,6,5
,19,5,7,X,6,7,X,3,2,,19,7,7,8,2,2,2,2,X,,19,8,5,7,7,7,3,3,4
,20,X,3,X,6,3,5,2,1,,20,8,6,6,2,2,4,X,X,,20,8,3,5,5,2,4,6,7
,21,X,4,4,6,2,2,3,2,,21,X,3,6,8,2,7,6,X,,21,8,8,7,6,1,2,2,X
,22,X,3,4,X,4,X,3,X,,22,X,X,7,8,6,3,1,3,,22,8,5,7,X,4,2,6,X
,23,4,4,8,X,2,4,3,5,,23,X,4,8,X,7,7,8,X,,23,8,1,1,X,4,7,4,X
,24,6,7,6,X,4,4,3,X,,24,X,4,4,2,4,7,4,5,,24,8,4,1,7,X,7,5,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk14,Low14.1,,,,,,,,,,Low14.2,,,,,,,,,,Low14.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,X,3,8,7,1,7,6,6,,1,4,1,1,5,X,3,1,6,,1,7,X,6,2,6,7,1,6
,2,X,1,4,6,1,2,6,6,,2,5,1,1,3,X,3,1,6,,2,7,3,5,8,8,4,4,1
,3,X,7,4,6,1,4,6,7,,3,4,1,1,2,X,1,1,6,,3,7,6,5,1,2,8,X,1
,4,X,5,4,6,1,8,6,7,,4,3,1,1,8,X,7,1,6,,4,7,X,4,5,4,1,5,6
,5,X,8,6,6,1,7,6,5,,5,6,1,1,8,X,7,1,6,,5,7,5,6,8,3,X,4,6
,6,X,8,7,6,1,3,6,5,,6,4,1,1,8,X,4,1,6,,6,7,X,5,2,4,3,4,4
,7,X,1,7,6,1,8,4,6,,7,3,1,1,8,X,4,1,6,,7,7,X,6,3,2,5,5,3
,8,X,5,7,6,6,8,4,4,,8,3,1,1,6,X,4,X,6,,8,7,X,5,2,8,5,5,6
,9,X,1,7,6,6,5,4,4,,9,3,7,1,6,X,3,4,X,,9,7,X,5,5,4,7,5,1
,10,X,1,7,6,7,8,4,4,,10,8,7,1,6,X,4,1,6,,10,7,3,5,1,4,1,6,X
,11,X,6,7,6,8,3,4,3,,11,2,7,1,6,X,8,5,6,,11,7,4,5,1,7,3,5,7
,12,X,8,7,6,8,7,4,7,,12,8,7,1,6,X,3,8,6,,12,7,6,5,3,4,3,6,4
,13,X,6,7,6,2,7,4,5,,13,5,4,1,6,2,3,6,6,,13,7,7,5,3,8,3,1,3
,14,X,6,7,6,1,4,4,5,,14,7,4,1,6,2,3,X,6,,14,7,7,6,3,2,5,X,2
,15,X,6,7,6,1,5,4,5,,15,2,4,1,6,8,4,2,6,,15,7,X,6,1,6,3,3,6
,16,X,6,7,6,4,7,4,4,,16,3,4,1,6,2,2,1,6,,16,4,X,5,3,2,8,1,6
,17,X,6,7,6,7,X,6,5,,17,2,4,1,X,2,5,6,6,,17,6,X,5,8,7,4,5,5
,18,X,4,7,6,6,X,4,1,,18,8,4,1,X,6,8,3,6,,18,3,X,6,2,6,8,8,7
,19,X,7,7,6,8,8,6,4,,19,8,4,1,X,3,7,X,6,,19,3,4,6,1,7,3,3,1
,20,X,4,7,6,X,8,2,6,,20,3,4,1,X,7,8,X,6,,20,5,4,6,2,8,7,6,5
,21,X,8,7,6,X,5,4,1,,21,6,4,1,X,1,7,X,6,,21,4,6,5,X,4,5,8,2
,22,X,1,7,6,X,1,6,6,,22,6,4,1,X,3,7,X,6,,22,5,3,5,2,6,5,4,4
,23,X,4,7,5,X,X,8,5,,23,3,4,6,X,6,2,X,6,,23,3,4,2,6,7,5,X,4
,24,X,4,7,5,X,X,3,6,,24,8,4,6,X,1,5,4,6,,24,2,6,5,1,3,7,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk15,Low15.1,,,,,,,,,,Low15.2,,,,,,,,,,Low15.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,8,6,X,7,4,1,4,7,,1,3,1,7,8,7,1,8,5,,1,8,4,X,3,4,5,2,3
,2,7,5,X,8,4,3,5,7,,2,5,X,1,8,4,1,5,X,,2,3,X,X,6,4,5,2,4
,3,6,7,5,7,1,3,5,3,,3,7,X,X,8,1,2,5,X,,3,4,5,X,2,X,5,2,5
,4,6,5,5,5,X,X,8,1,,4,5,7,7,1,4,2,1,2,,4,3,8,X,8,1,4,2,4
,5,7,1,X,5,X,3,4,1,,5,5,6,8,X,2,1,8,4,,5,2,X,X,7,6,4,2,4
,6,X,X,X,7,X,8,5,3,,6,5,6,2,1,6,1,2,6,,6,4,5,X,X,8,1,X,4
,7,X,X,X,X,X,8,5,6,,7,3,7,8,5,8,4,8,6,,7,X,4,X,8,2,5,X,4
,8,3,8,1,2,X,8,X,3,,8,4,6,5,5,1,8,X,1,,8,8,5,X,8,3,1,X,X
,9,8,6,2,5,X,1,1,1,,9,8,1,X,7,8,1,8,3,,9,6,5,X,8,4,4,4,4
,10,3,X,7,8,X,8,1,4,,10,5,6,X,8,1,1,8,1,,10,8,7,X,2,2,4,5,5
,11,X,6,2,5,X,1,X,1,,11,8,7,X,7,1,4,X,3,,11,8,7,X,X,1,2,5,5
,12,3,6,1,X,2,4,4,1,,12,8,3,5,8,7,8,5,6,,12,8,7,X,8,2,4,5,X
,13,7,X,8,X,3,1,X,3,,13,2,X,X,2,7,4,6,6,,13,6,5,X,8,8,,5,5
,14,4,X,1,6,8,1,X,1,,14,6,X,X,8,1,4,8,1,,14,6,1,X,8,2,1,5,1
,15,3,1,1,3,3,2,X,4,,15,5,X,X,X,X,1,8,1,,15,5,4,X,X,2,4,3,7
,16,6,1,1,6,4,4,X,2,,16,5,4,X,7,3,2,8,6,,16,6,6,X,2,4,X,3,2
,17,3,8,6,3,2,3,2,1,,17,2,5,X,3,X,1,1,1,,17,5,7,X,2,3,5,5,7
,18,3,5,7,3,8,3,5,2,,18,2,X,X,X,X,5,1,6,,18,3,X,X,2,6,5,8,4
,19,6,5,8,6,3,8,4,3,,19,2,X,X,X,4,4,6,1,,19,5,8,X,X,6,4,5,4
,20,3,7,2,6,3,8,1,5,,20,X,X,X,X,4,4,5,4,,20,X,4,X,8,1,4,2,1
,21,5,7,2,8,3,8,5,1,,21,X,X,X,6,X,4,1,6,,21,2,1,X,3,8,X,6,2
,22,4,8,5,3,3,7,4,3,,22,X,X,X,1,X,4,3,1,,22,5,4,X,3,1,8,5,1
,23,3,1,5,2,3,8,4,2,,23,6,X,X,6,X,2,3,5,,23,6,1,X,6,X,4,5,1
,24,3,X,2,8,7,1,1,2,,24,3,X,X,8,X,2,2,2,,24,8,5,X,5,4,8,X,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk16,Low16.1,,,,,,,,,Low16.2,,,,,,,,,Low16.3,,,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,,Focal Individual,1,2,3,4,5,6,7,,Focal Individual,1,2,3,4,5,6,7,,,
,Observation,,,,,,,,,Observation,,,,,,,,,Observation,,,,,,,,,,
,1,X,X,7,1,X,3,4,,1,X,4,X,6,3,4,5,,1,3,X,5,1,3,X,1,,,
,2,X,X,7,2,X,X,5,,2,2,5,1,5,3,4,1,,2,X,X,5,5,3,X,1,,,
,3,3,4,7,2,X,1,5,,3,3,4,6,7,7,4,2,,3,X,1,5,2,3,X,2,,,
,4,X,6,2,1,1,X,2,,4,5,4,4,7,3,7,2,,4,4,6,5,2,7,5,4,,,
,5,2,4,X,5,1,X,5,,5,X,5,7,5,3,4,4,,5,6,6,5,1,3,2,1,,,
,6,6,5,4,3,X,X,5,,6,X,4,2,5,2,2,2,,6,X,6,X,1,7,2,5,,,
,7,X,1,7,7,2,7,5,,7,X,3,7,5,6,3,5,,7,2,1,X,X,X,X,X,,,
,8,7,4,4,3,X,X,5,,8,X,7,7,5,4,X,1,,8,7,6,5,1,X,7,5,,,
,9,3,1,4,3,7,5,X,,9,X,3,2,1,3,5,2,,9,3,6,1,5,X,5,2,,,
,10,5,5,4,3,2,7,1,,10,X,1,2,7,7,3,4,,10,X,6,7,5,X,5,3,,,
,11,X,7,4,3,X,X,6,,11,7,1,4,1,4,4,5,,11,5,6,1,1,3,7,5,,,
,12,3,7,4,1,X,2,6,,12,2,3,2,3,3,4,2,,12,X,6,4,2,X,5,5,,,
,13,4,1,X,1,X,1,3,,13,2,7,7,1,4,3,2,,13,X,6,4,5,1,5,3,,,
,14,5,X,X,6,X,7,X,,14,5,X,2,3,4,2,6,,14,6,6,4,2,X,4,X,,,
,15,6,X,6,3,X,X,5,,15,X,3,X,3,7,7,4,,15,X,4,7,3,7,X,X,,,
,16,X,5,4,5,X,7,6,,16,6,1,6,3,4,X,4,,16,X,4,7,3,7,7,5,,,
,17,X,X,5,7,X,1,3,,17,3,5,2,7,2,7,6,,17,X,4,6,5,7,5,5,,,
,18,X,7,4,2,X,X,3,,18,X,3,4,2,3,3,6,,18,7,4,6,5,7,3,6,,,
,19,6,3,1,7,X,X,3,,19,5,7,7,7,X,5,4,,19,X,X,7,5,7,7,3,,,
,20,6,X,5,7,X,7,5,,20,2,4,X,6,X,5,2,,20,7,1,6,5,7,1,X,,,
,21,X,3,5,1,X,X,4,,21,2,X,2,3,X,5,1,,21,5,X,2,5,7,3,6,,,
,22,3,7,1,7,6,X,4,,22,7,X,X,7,4,X,6,,22,3,1,7,3,2,2,1,,,
,23,5,1,4,5,1,X,4,,23,3,4,7,3,6,5,3,,23,7,X,6,3,7,4,6,,,
,24,7,7,2,5,7,2,1,,24,7,1,7,7,4,X,5,,24,X,4,7,6,2,1,3,,,
